S_size,pool_idx,sigma2
6,310,0.9264195712153209
7,770,0.9170881841827712
8,713,0.7774240244110817
9,942,0.6805871422673742
10,22,0.6625608262899126
11,511,0.6565829788565394
12,567,0.6534857384642866
13,152,0.5714734708555768
14,790,0.36616460239241455
15,835,0.35542776774161156
16,375,0.3239375689747628
17,797,0.2975542710193363
18,498,0.282451421082346
19,373,0.2721733251868653
20,203,0.2674343818269952
21,728,0.25723979988178347
22,16,0.24788935215032737
23,609,0.245545425192644
24,292,0.23972557033761477
25,453,0.22798835868590805
26,881,0.22598060063488123
27,860,0.2196240263319147
28,288,0.21457419378083242
29,60,0.2136629492272526
30,305,0.20981490643928868
31,282,0.20605183009545347
32,753,0.19791644911360373
33,258,0.19016703359699572
34,879,0.17374708463806265
35,536,0.16832012406454844
36,652,0.16787140052068605
37,290,0.15291729558674272
38,846,0.1499076376926456
39,179,0.14041466812644854
40,927,0.12798049550431123
41,804,0.12224929281349783
42,712,0.11915596337863554
43,975,0.11727817192957524
44,404,0.10990147941278117
45,267,0.10853706606864721
46,821,0.10182383360063973
47,787,0.09954184410303468
48,138,0.09582916374041506
49,424,0.0922652151326927
50,743,0.0902746695247203
51,842,0.08606816024784669
52,140,0.08148628625867316
53,771,0.06667913038771889
54,246,0.06269051300754758
55,394,0.0621996667697563
56,828,0.05767902571556205
57,462,0.05580630223461813
58,833,0.053483752885782776
59,245,0.051233840786265916
60,803,0.04577586321702665
61,383,0.040073988678515415
62,698,0.03961815892404552
63,854,0.03386952450337488
64,189,0.030030912378580688
65,721,0.02862862382334408
66,920,0.028199385644967045
67,763,0.0275176326576001
68,741,0.024920159887880766
69,71,0.02384483522293457
70,109,0.02359273473174095
71,54,0.023327511843660442
72,557,0.02269385727105655
73,814,0.02261844128934598
74,355,0.021029196796830463
75,748,0.019354397025686865
76,687,0.019191166658572456
77,439,0.018487734254096777
78,896,0.018198800044281982
79,510,0.018145406756516436
80,764,0.01800804041057813
81,688,0.017475589464778896
82,159,0.017365743921752497
83,42,0.017320181305578775
84,801,0.016776527143522846
85,337,0.016563494988122263
86,334,0.016283206983621956
87,592,0.01613760825501831
88,503,0.016079083897539093
89,362,0.015033268365588381
90,602,0.014898247729347669
91,396,0.014821406711089113
92,811,0.014644385013160122
93,647,0.014337539071418437
94,385,0.014262887953235603
95,849,0.014044762730195282
96,788,0.013901858174265369
97,471,0.01347396667927725
98,20,0.013275928521183311
99,332,0.01313419323150744
100,538,0.013010465032439855
