pool_idx,feed_id,feed_source,template_name,mixture_size,active_components,CO2,H2,Ar,N2,CH4,O2,CO,H2S
10,10,Random (Dirichlet),dirichlet,3,"CO2,N2,CO",0.98,0.0,0.0,0.005965250170386,0.0,0.0,0.0140347498296139,0.0
13,13,Random (Dirichlet),dirichlet,5,"CO2,H2,N2,CO,H2S",0.98,0.0079217512361066,0.0,0.0050536756381223,0.0,0.0,0.0028091823647944,0.0042153907609765
15,15,Random (Dirichlet),dirichlet,4,"CO2,N2,CH4,O2",0.97,0.0,0.0,0.0146154539201671,0.0055106247661415,0.0098739213136913,0.0,0.0
16,16,Random (Dirichlet),dirichlet,3,"CO2,CH4,H2S",0.95,0.0,0.0,0.0,0.0244546223288794,0.0,0.0,0.0255453776711206
45,45,Random (Dirichlet),dirichlet,6,"CO2,H2,N2,CH4,CO,H2S",0.95,0.0229696547774719,0.0,0.0053737503143638,0.007208534665549,0.0,0.007632560612022,0.0068154996305931
87,87,Random (Dirichlet),dirichlet,4,"CO2,N2,CO,H2S",0.96,0.0,0.0,0.0107081538265254,0.0,0.0,0.0213211731551475,0.0079706730183269
99,99,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,CH4,O2,CO",0.96,0.0061627920026053,0.0004483668029823,0.0,0.0062537765258872,0.0111310694808957,0.0160039951876293,0.0
116,116,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,N2,O2,CO",0.99,0.0021850508518288,0.0053386113814477,0.0004205475950273,0.0,0.0019932148539439,6.257531775212981e-05,0.0
127,127,Random (Dirichlet),dirichlet,5,"CO2,N2,CH4,O2,H2S",0.96,0.0,0.0,0.0155746438049296,0.0156742165798288,0.0046665700005304,0.0,0.0040845696147111
132,132,Random (Dirichlet),dirichlet,4,"CO2,Ar,CH4,O2",0.97,0.0,0.0055786560975858,0.0,0.0209484852668756,0.0034728586355384,0.0,0.0
138,138,Random (Dirichlet),dirichlet,3,"CO2,CH4,H2S",0.98,0.0,0.0,0.0,0.0106475214706026,0.0,0.0,0.0093524785293973
143,143,Random (Dirichlet),dirichlet,7,"CO2,H2,N2,CH4,O2,CO,H2S",0.99,0.0027227683625046,0.0,0.0024249299134098,0.0013554169268014,0.0007042807614354,0.0012117471184128,0.0015808569174358
149,149,Random (Dirichlet),dirichlet,5,"CO2,H2,Ar,N2,CH4",0.99,0.0015139332618483,0.0020060704395798,0.000348943878331,0.0061310524202408,0.0,0.0,0.0
168,168,Random (Dirichlet),dirichlet,2,"CO2,H2",0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0
176,176,Random (Dirichlet),dirichlet,2,"CO2,H2",0.96,0.04,0.0,0.0,0.0,0.0,0.0,0.0
180,180,Random (Dirichlet),dirichlet,5,"CO2,Ar,N2,CH4,O2",0.98,0.0,0.0063639159990617,0.0001044682241501,0.003512692596753,0.0100189231800349,0.0,0.0
187,187,Random (Dirichlet),dirichlet,5,"CO2,H2,CH4,O2,CO",0.95,0.0070049530161493,0.0,0.0,0.0209558409833352,0.0104472304389292,0.0115919755615862,0.0
188,188,Random (Dirichlet),dirichlet,3,"CO2,Ar,O2",0.97,0.0,0.0188736445078937,0.0,0.0,0.0111263554921062,0.0,0.0
194,194,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,N2,CH4,O2",0.99,0.002314011373365,0.0027509956104358,0.0009525909552947,0.0025470224013241,0.0014353796595803,0.0,0.0
197,197,Random (Dirichlet),dirichlet,5,"CO2,H2,Ar,O2,H2S",0.95,0.0038712916492434,0.0115346029645073,0.0,0.0,0.0023525978031995,0.0,0.0322415075830496
206,206,Random (Dirichlet),dirichlet,5,"CO2,H2,N2,CH4,O2",0.95,0.0025560867922714,0.0,0.0080738622551729,0.0288865413417212,0.0104835096108344,0.0,0.0
215,215,Random (Dirichlet),dirichlet,5,"CO2,H2,N2,O2,H2S",0.97,0.0006214399933412,0.0,0.0119178420329446,0.0,0.0104625256366231,0.0,0.0069981923370909
217,217,Random (Dirichlet),dirichlet,5,"CO2,H2,CH4,CO,H2S",0.98,0.0010129517973992,0.0,0.0,0.0063361044228381,0.0,0.0103522063625117,0.0022987374172509
218,218,Random (Dirichlet),dirichlet,4,"CO2,CH4,O2,CO",0.98,0.0,0.0,0.0,0.0030441445117469,0.015325726130807,0.001630129357446,0.0
243,243,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,N2,O2,CO",0.99,0.0021784604092588,0.0005351457574927,0.0062678341141045,0.0,0.000470689073964,0.0005478706451798,0.0
245,245,Random (Dirichlet),dirichlet,5,"CO2,H2,N2,CO,H2S",0.99,0.0046538555863012,0.0,0.004455140503368,0.0,0.0,0.0002893745962519,0.0006016293140787
271,271,Random (Dirichlet),dirichlet,4,"CO2,O2,CO,H2S",0.97,0.0,0.0,0.0,0.0,0.0175203138227619,0.0048171060965329,0.0076625800807051
276,276,Random (Dirichlet),dirichlet,5,"CO2,Ar,CH4,O2,CO",0.95,0.0,0.031141052096382,0.0,0.0091394766185434,0.0060308526400069,0.0036886186450676,0.0
293,293,Random (Dirichlet),dirichlet,4,"CO2,Ar,N2,CO",0.96,0.0,0.0185210017025464,0.0166836383321957,0.0,0.0,0.0047953599652578,0.0
308,308,Random (Dirichlet),dirichlet,2,"CO2,CO",0.96,0.0,0.0,0.0,0.0,0.0,0.04,0.0
