T_K,P_bubble_bar,P_dew_bar
200,5.349892382297888,2.3744476618586488
205,6.022272145543993,3.050786978040326
210,6.833093345438689,3.8671706293835606
215,7.800190848446489,4.841717172891258
220,8.942205535121113,5.9934065135340076
225,10.278533516952768,7.34203865285499
230,11.829288495484292,8.908207251751469
235,13.615278929099441,10.713290563497683
240,15.658001399439573,12.779462471913789
245,17.97965151695043,15.129726899554491
250,20.60315382626511,17.78797984638831
255,23.55221239913158,20.779104981117918
260,26.85138401978284,24.129111397839367
265,30.52617583179854,27.865326550626786
270,34.6031684368056,32.0166648283871
275,39.110162184303704,36.61400555408159
280,44.076334574703274,41.69073986551047
285,49.532367860097814,47.28360059765289
290,55.5104165934582,53.43402242598338
295,62.043471353305655,60.19067102190591
