CO2,H2,Ar,N2,CH4,O2,CO,H2S,mixture_size,active_components,feed_source,template_name
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",random,dirichlet
