temperature,pressure,z_carbon dioxide,z_hydrogen,z_nitrogen,z_argon,z_methane,z_oxygen,z_water,z_carbon monoxide,z_nitrogen dioxide,z_nitrogen oxide,z_sulfur dioxide,z_hydrogen sulfide,z_propane,z_ethane,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_nitrogen,x_argon,x_methane,x_oxygen,x_water,x_carbon monoxide,x_nitrogen dioxide,x_nitrogen oxide,x_sulfur dioxide,x_hydrogen sulfide,x_propane,x_ethane,y_carbon dioxide,y_hydrogen,y_nitrogen,y_argon,y_methane,y_oxygen,y_water,y_carbon monoxide,y_nitrogen dioxide,y_nitrogen oxide,y_sulfur dioxide,y_hydrogen sulfide,y_propane,y_ethane,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_nitrogen,E_argon,E_methane,E_oxygen,E_water,E_carbon monoxide,E_nitrogen dioxide,E_nitrogen oxide,E_sulfur dioxide,E_hydrogen sulfide,E_propane,E_ethane,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.185545817155682,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6456194718832721,0.023414889834536982,145.2869992804984,2.185445817155682,1199.7587542439921,5.789314461656939,0.8766769978446391,1.5459037814245755e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12330754311754649,0.0,0.0,0.9500056435997832,0.030002307880800036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019992048519416706,0.0,0.0,21.560933731582168,0.5988313352969747,1.0000000004063412,1.8090496062902663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000172493,0.0,0.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,18.08569620197154,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6456194718832721,0.1937614763442419,145.2869992804984,2.185445817155682,1217.3827238997176,9.009059446356968,0.9756578358046201,0.0037177698839274344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02062439431145253,0.0,0.0,0.1464025002962581,0.853153385528771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044411417497100086,0.0,0.0,19.455629967265953,0.6393273012466529,1.0000000008024248,1.705501987009116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000000140397,0.0,0.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,33.985846586787396,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6456194718832721,0.3641080628539468,145.2869992804984,2.185445817155682,1216.0191418969098,11.649768283161311,0.9721327953930001,0.00736161097584968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020505593631150232,0.0,0.0,0.08637142277795892,0.9133569983531964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027157886884473283,0.0,0.0,18.76062644763006,0.6744800770008547,1.0,1.6407675548401723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000850273,0.0,0.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,49.885996971603255,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6456194718832721,0.5344546493636517,145.2869992804984,2.185445817155682,1214.7448727355606,14.325338338710322,0.9686856001098557,0.010896591878600483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020417808011543775,0.0,0.0,0.06502672564456574,0.9347611817201436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002120926352906519,0.0,0.0,18.110170770670262,0.7072635958991903,1.0000000000010494,1.5790372143988036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000001006,0.0,0.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,65.78614735641911,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6456194718832721,0.7048012358733566,145.2869992804984,2.185445817155682,1213.5604398093806,17.031471435242747,0.9653349277559305,0.014325786735772566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02033928550829687,0.0,0.0,0.0543549283288924,0.9454612324142188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001838392568887769,0.0,0.0,17.50268859602253,0.7372813557639383,1.0000000000244538,1.5223806138278586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000001161375,0.0,0.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,81.68629774123497,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6456194718832721,0.8751478223830615,145.2869992804984,2.185445817155682,1212.463240943202,19.763207527920297,0.962081950449875,0.017652377449373115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020265672100751937,0.0,0.0,0.04813446837717167,0.9516968089795798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016872264324861632,0.0,0.0,16.935727236884357,0.7646061381884224,1.000000000174003,1.471126183873338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000001965004,0.0,0.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,97.58644812605083,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6456194718832721,1.0454944088927665,145.2869992804984,2.185445817155682,1211.4500669026072,22.514845729267535,0.9589248664682595,0.02087965532636296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020195478205377586,0.0,0.0,0.0441932632535867,0.9556463025200678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000160434226345526,0.0,0.0,16.406633850673508,0.7895539864704268,1.00000000012183,1.424910896242941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000001548734,0.0,0.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,113.48659851086668,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6456194718832721,1.2158409954024714,145.2869992804984,2.185445817155682,1210.5174643380308,25.28002694913879,0.9558609565576303,0.02401101581484281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0201280276275269,0.0,0.0,0.04157341105193779,0.958270397688457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001561912596052139,0.0,0.0,15.912772097770464,0.8124284312923351,1.0000000000672733,1.3833612401830657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000786342,0.0,0.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,129.38674889568253,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6456194718832721,1.3861875819121763,145.2869992804984,2.185445817155682,1209.6618425480858,28.05187761241618,0.952887109402723,0.02704994286988799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02006294772738898,0.0,0.0,0.039785519661023915,0.9600599122162161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001545681227599282,0.0,0.0,15.451617471684672,0.8335081967508252,1.0000000001081468,1.3461040688078176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000001234974,0.0,0.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,145.2868992804984,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6456194718832721,1.5565341684218812,145.2869992804984,2.185445817155682,1208.8795330368646,30.823203002551487,0.9500000176626875,0.029999981952736895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02000000038457556,0.0,0.0,0.038552548924369004,0.9612926987713805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015475230425056625,0.0,0.0,15.020767718069457,0.8530587248215917,1.000000000046443,1.312631798936832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000834828,0.0,0.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
205.0,2.884533514730377,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6617599586803539,0.030903508835765765,129.27360161854952,2.8844335147303766,1187.9626353122353,7.51801449808631,0.8969874061209695,2.3204677285814855e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10298938920174468,0.0,0.0,0.9500046170864261,0.030002610803295162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01999277211027868,0.0,0.0,20.013167930762414,0.6221020769475978,1.000000001091072,1.7242159556428305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000002489686,0.0,0.0,18.736332948920182,1206.7952327215985,8.323997326113064,309.1473760575555,3.0713819419222324
205.0,16.927752192932502,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6617599586803539,0.1813558195085976,129.27360161854952,2.8844335147303766,1201.63516397635,10.478981128917491,0.9757016450903299,0.003640914261472299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020657440648197817,0.0,0.0,0.19828454712958937,0.8009441167500385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007713361203722937,0.0,0.0,18.371690044913752,0.6561800699669704,1.000000000702717,1.64379757171655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000000372248,0.0,0.0,18.736332948920182,1206.7952327215985,8.323997326113064,309.1473760575555,3.0713819419222324
205.0,30.970970871134632,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6617599586803539,0.3318081301814295,129.27360161854952,2.8844335147303766,1200.1647426862362,12.889086457150272,0.9722510167189666,0.007226494454769866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0205224888262635,0.0,0.0,0.11845032466373998,0.8810757679788446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004739073574154658,0.0,0.0,17.775266110843383,0.6861740203992781,1.0000000008348044,1.5929308614795032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000003164355,0.0,0.0,18.736332948920182,1206.7952327215985,8.323997326113064,309.1473760575555,3.0713819419222324
205.0,45.01418954933676,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6617599586803539,0.4822604408542614,129.27360161854952,2.8844335147303766,1198.7622564247836,15.33249824497979,0.9688451402547419,0.01072521994051756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020429639804740603,0.0,0.0,0.0887977974791404,0.9108362695074471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036593301341230076,0.0,0.0,17.211201224362195,0.714652109461698,1.000000000675438,1.543200978321457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000004362712,0.0,0.0,18.736332948920182,1206.7952327215985,8.323997326113064,309.1473760575555,3.0713819419222324
205.0,59.057408227538886,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6617599586803539,0.6327127515270933,129.27360161854952,2.8844335147303766,1197.4311430657256,17.80603371973944,0.9655126309442852,0.014138892746713861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020348476309000996,0.0,0.0,0.0735939621629005,0.926093655130939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003123827061604729,0.0,0.0,16.67880598745311,0.7412873222650419,1.0000000006077336,1.4965964305302835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000000438284,0.0,0.0,18.736332948920182,1206.7952327215985,8.323997326113064,309.1473760575555,3.0713819419222324
205.0,73.10062690574101,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6617599586803539,0.7831650621999251,129.27360161854952,2.8844335147303766,1196.170469675229,20.30663863777582,0.9622576542067525,0.01746938838000174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020272957413245748,0.0,0.0,0.0645289012807334,0.9351890558857474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028204283351927675,0.0,0.0,16.176748975171677,0.7659927444786718,1.00000000047,1.4535547217039064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000003662044,0.0,0.0,18.736332948920182,1206.7952327215985,8.323997326113064,309.1473760575555,3.0713819419222324
205.0,87.14384558394315,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6617599586803539,0.933617372872757,129.27360161854952,2.8844335147303766,1194.97851125899,22.830798627664596,0.9590802828892832,0.020718664296849584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020201052813867203,0.0,0.0,0.05864153614450238,0.9410946471338845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000263816721613148,0.0,0.0,15.703455236546679,0.7889369691427099,1.0,1.414049706409502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.736332948920182,1206.7952327215985,8.323997326113064,309.1473760575555,3.0713819419222324
205.0,101.18706426214527,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6617599586803539,1.084069683545589,129.27360161854952,2.8844335147303766,1193.8532557290948,25.37451940985058,0.9559793671093738,0.023888761680803117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020131871209823016,0.0,0.0,0.05461124578344671,0.9451359943710091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025275984554407835,0.0,0.0,15.257291119748182,0.8102404642308642,1.0,1.3779835877012043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.736332948920182,1206.7952327215985,8.323997326113064,309.1473760575555,3.0713819419222324
205.0,115.2302829403474,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6617599586803539,1.2345219942184207,129.27360161854952,2.8844335147303766,1192.7925343638049,27.933373607069697,0.9529532514836929,0.0269818020699635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02006494644634358,0.0,0.0,0.051759037096064144,0.9479946340094849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000246328894450943,0.0,0.0,14.836641838043315,0.8300677597675084,1.0,1.3450222575891253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.736332948920182,1206.7952327215985,8.323997326113064,309.1473760575555,3.0713819419222324
205.0,129.27350161854952,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6617599586803539,1.3849743048912526,129.27360161854952,2.8844335147303766,1191.7940735457582,30.50257896728627,0.9500000205182625,0.02999997903146816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000450269288,0.0,0.0,0.04969931140203515,0.9500576124494561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024307614850872805,0.0,0.0,14.439945242686777,0.8486451251905188,1.0,1.3150404379399776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.736332948920182,1206.7952327215985,8.323997326113064,309.1473760575555,3.0713819419222324
210.0,3.7315243648769236,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6779004454774357,0.039977762640635565,116.34237489343472,3.7314243648769234,1175.0592136572436,9.5860123194546,0.9136763792283473,3.3872320077370794e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08628974845157536,0.0,0.0,0.9500036323390161,0.03000299659374306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019993371067240952,0.0,0.0,18.563595892752513,0.6466732069568429,1.000000000074155,1.6484288659126665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.57368055944734,1190.8566381540581,10.392958269289368,309.1473760575555,3.8905479503367095
210.0,16.243829979161124,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6779004454774357,0.174028604876378,116.34237489343472,3.7314243648769234,1185.5432303009816,12.331266607212884,0.9757171974209654,0.003585096710734243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020697705868300272,0.0,0.0,0.2592036094137809,0.7395376510596381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012587395265809818,0.0,0.0,17.279341288005977,0.6757717438627345,1.0000000003466472,1.5849676896826728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.57368055944734,1190.8566381540581,10.392958269289368,309.1473760575555,3.8905479503367095
210.0,28.75613559344532,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6779004454774357,0.30807944711212043,116.34237489343472,3.7314243648769234,1183.9832883492802,14.56374402010644,0.97233431955698,0.007123637145623324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020542043297396617,0.0,0.0,0.1582855324023615,0.8409290006179251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007854669797133416,0.0,0.0,16.763967163506628,0.7016759761054878,1.0000000007921444,1.5446270328250582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000003659593,0.0,0.0,17.57368055944734,1190.8566381540581,10.392958269289368,309.1473760575555,3.8905479503367095
210.0,41.26844120772952,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6779004454774357,0.4421302893478629,116.34237489343472,3.7314243648769234,1182.473654666967,16.829342694902806,0.9689651033622162,0.010592324525574771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020442572112209078,0.0,0.0,0.11884165782086731,0.8805543610698743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006039811092583148,0.0,0.0,16.272516060081426,0.7265885082843433,1.0000000008334589,1.5045388867911824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000004191936,0.0,0.0,17.57368055944734,1190.8566381540581,10.392958269289368,309.1473760575555,3.8905479503367095
210.0,53.780746822013725,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6779004454774357,0.5761811315836054,116.34237489343472,3.7314243648769234,1181.0205562450792,19.124427116955612,0.965649758216136,0.01399222365665922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020358018127204836,0.0,0.0,0.09807774065921086,0.9014116091186546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005106502221343914,0.0,0.0,15.804701492174805,0.7502525733766562,1.0000000000012392,1.466211443781757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.57368055944734,1190.8566381540581,10.392958269289368,309.1473760575555,3.8905479503367095
210.0,66.29305243629793,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6779004454774357,0.7102319738193478,116.34237489343472,3.7314243648769234,1179.62428216363,21.446856695644104,0.9623953668644107,0.01732442135428915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02028021178129999,0.0,0.0,0.08544490397148051,0.9140993762535528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004557197749666524,0.0,0.0,15.35981461642022,0.7725778614235701,1.0000000000031737,1.4302523605222643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000005556,0.0,0.0,17.57368055944734,1190.8566381540581,10.392958269289368,309.1473760575555,3.8905479503367095
210.0,78.80535805058211,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6779004454774357,0.8442828160550901,116.34237489343472,3.7314243648769234,1178.2840889150414,23.79437239128389,0.9592035113735288,0.02059006025978402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020206428366687207,0.0,0.0,0.07708107840907451,0.9224978866099346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004210349809909816,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,17.57368055944734,1190.8566381540581,10.392958269289368,309.1473760575555,3.8905479503367095
210.0,91.31766366486632,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6779004454774357,0.9783336582908326,116.34237489343472,3.7314243648769234,1176.9988915217791,26.164410488235053,0.9560741659036467,0.023790344342441806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02013548975391146,0.0,0.0,0.07123636591155653,0.9283652502473798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003983838410636228,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,17.57368055944734,1190.8566381540581,10.392958269289368,309.1473760575555,3.8905479503367095
210.0,103.82996927915052,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6779004454774357,1.1123845005265751,116.34237489343472,3.7314243648769234,1175.7674358721133,28.554085134117425,0.9530066643466781,0.02692654023866098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020066795414660853,0.0,0.0,0.06700199758172835,0.932614497948074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038350447019763387,0.0,0.0,14.153207463351487,0.8319504393817972,1.0000000003121112,1.3369641149837748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000002654896,0.0,0.0,17.57368055944734,1190.8566381540581,10.392958269289368,309.1473760575555,3.8905479503367095
210.0,116.34227489343472,0.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,309.78,93.34,0.6779004454774357,1.2464353427623176,116.34237489343472,3.7314243648769234,1174.5883582850818,30.960211151732462,0.9500000235042131,0.02999997597522153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02000000052056546,0.0,0.0,0.06385855180949707,0.9357674882879898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037395990251313854,0.0,0.0,13.790272019542378,0.8495229482144104,1.0000000000528946,1.3104298570110637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000913052,0.0,0.0,17.57368055944734,1190.8566381540581,10.392958269289368,309.1473760575555,3.8905479503367095
