feed_source,template_name,mixture_size,active_components,CO2,H2,Ar,N2,CH4,O2,CO,H2S
random,dirichlet,4,"CO2,H2,O2,CO",0.95,0.005732712342951192,0.0,0.0,0.0,0.016922207657662183,0.02734507999938667,0.0
random,dirichlet,4,"CO2,N2,O2,CO",0.98,0.0,0.0,0.009372755457599564,0.0,0.0013179236886042194,0.009309320853796231,0.0
random,dirichlet,5,"CO2,H2,N2,O2,H2S",0.95,0.011916156123464468,0.0,0.01389828382469879,0.0,0.0013899669972215394,0.0,0.022795593054615246
random,dirichlet,5,"CO2,H2,N2,CH4,H2S",0.95,0.00040996532020058375,0.0,0.0030677330248910476,0.024407603639115833,0.0,0.0,0.022114698015792585
random,dirichlet,5,"CO2,H2,Ar,O2,H2S",0.98,0.005531411604654501,0.0055022792188918574,0.0,0.0,0.0072641455074755786,0.0,0.0017021636689780785
random,dirichlet,4,"CO2,Ar,CH4,H2S",0.95,0.0,0.017390482906102258,0.0,0.0231553933234989,0.0,0.0,0.009454123770398882
random,dirichlet,5,"CO2,H2,Ar,N2,CO",0.98,0.00601887398697657,0.0010552251781680573,0.0005209241379908228,0.0,0.0,0.012404976696864568,0.0
random,dirichlet,4,"CO2,H2,O2,H2S",0.99,0.0034780965812204515,0.0,0.0,0.0,0.00463107866469978,0.0,0.0018908247540797766
random,dirichlet,5,"CO2,N2,CH4,O2,H2S",0.95,0.0,0.0,0.023562573976701848,0.019947961357307982,0.0016919748311126379,0.0,0.004797489834877579
random,dirichlet,4,"CO2,CH4,O2,H2S",0.97,0.0,0.0,0.0,0.0010842625798731175,0.004825749868375143,0.0,0.024089987551751763
random,dirichlet,4,"CO2,Ar,CH4,O2",0.97,0.0,0.025061729622325668,0.0,0.00437110780842371,0.000567162569250651,0.0,0.0
random,dirichlet,4,"CO2,H2,CO,H2S",0.95,0.002519792270422391,0.0,0.0,0.0,0.0,0.04132483670010387,0.006155371029473791
random,dirichlet,5,"CO2,H2,CH4,CO,H2S",0.95,0.03674203282097696,0.0,0.0,0.0064083121548826685,0.0,0.000831495114194886,0.006018159909945533
random,dirichlet,5,"CO2,Ar,N2,O2,H2S",0.96,0.0,0.010736981047408417,0.0021515634175396504,0.0,0.01758489201380021,0.0,0.009526563521251755
random,dirichlet,5,"CO2,H2,Ar,N2,CH4",0.96,0.007289539265337086,0.007977189527433232,0.016494420629837223,0.008238850577392496,0.0,0.0,0.0
random,dirichlet,2,"CO2,CH4",0.96,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,0.0
random,dirichlet,5,"CO2,N2,CH4,CO,H2S",0.95,0.0,0.0,0.03457268626290354,0.010178796230545012,0.0,0.0017257374586727775,0.003522780047878708
random,dirichlet,4,"CO2,N2,CH4,H2S",0.96,0.0,0.0,0.0024750609837962878,0.017321818049838525,0.0,0.0,0.02020312096636522
random,dirichlet,3,"CO2,H2,H2S",0.97,0.02418430905676887,0.0,0.0,0.0,0.0,0.0,0.005815690943231158
random,dirichlet,5,"CO2,H2,N2,O2,H2S",0.98,0.002177602643674464,0.0,0.006427994625867305,0.0,0.010387180611176376,0.0,0.0010072221192818718
random,dirichlet,3,"CO2,Ar,H2S",0.98,0.0,0.016661277891555443,0.0,0.0,0.0,0.0,0.0033387221084445738
random,dirichlet,5,"CO2,H2,Ar,CH4,O2",0.98,0.0053684905237042085,0.0010757817087698252,0.0,0.008792446006900104,0.004763281760625878,0.0,0.0
random,dirichlet,2,"CO2,CH4",0.99,0.0,0.0,0.0,0.010000000000000009,0.0,0.0,0.0
random,dirichlet,3,"CO2,N2,H2S",0.99,0.0,0.0,0.0012401367855477347,0.0,0.0,0.0,0.008759863214452273
random,dirichlet,4,"CO2,H2,N2,CH4",0.98,0.016707819748217112,0.0,0.002914071872282473,0.00037810837950043405,0.0,0.0,0.0
random,dirichlet,4,"CO2,H2,N2,O2",0.99,0.008353909874108556,0.0,0.0014570359361412365,0.0,0.00018905418975021703,0.0,0.0
random,dirichlet,3,"CO2,H2,CO",0.97,0.0012090239852052477,0.0,0.0,0.0,0.0,0.02879097601479478,0.0
random,dirichlet,4,"CO2,H2,Ar,N2",0.98,0.009322535628073014,0.007483802567963252,0.0031936618039637554,0.0,0.0,0.0,0.0
random,dirichlet,4,"CO2,Ar,N2,H2S",0.96,0.0,0.012091946839149752,0.012028261963548907,0.0,0.0,0.0,0.015879791197301374
random,dirichlet,5,"CO2,H2,Ar,CH4,H2S",0.99,0.007348406564195392,0.0012816624309765338,0.0,0.0001662990228389772,0.0,0.0,0.0012036319819891067
random,dirichlet,3,"CO2,H2,CO",0.97,0.023677453153418078,0.0,0.0,0.0,0.0,0.006322546846581947,0.0
random,dirichlet,4,"CO2,H2,Ar,CH4",0.96,0.019381500517742654,0.00048794547728662466,0.0,0.02013055400497076,0.0,0.0,0.0
random,dirichlet,5,"CO2,Ar,N2,CH4,H2S",0.98,0.0,0.004483511874258289,0.0037379670620324473,0.00993877154383462,0.0,0.0,0.0018397495198746562
random,dirichlet,4,"CO2,N2,CO,H2S",0.99,0.0,0.0,0.003022986709787438,0.0,0.0,0.003007065490887227,0.0039699477993253435
random,dirichlet,5,"CO2,Ar,CH4,O2,CO",0.99,0.0,3.20948187450855e-05,0.0,0.001324095646137474,0.004794751921177855,0.0038490576139395944,0.0
random,dirichlet,6,"CO2,H2,Ar,N2,O2,H2S",0.95,0.007783744830807494,0.0020519367959288414,0.008124757620855372,0.0,0.02309824622867507,0.0,0.008941314523733257
random,dirichlet,6,"CO2,H2,Ar,N2,CH4,H2S",0.99,0.0002079257950852212,0.004951420858817346,0.0040438381785099994,0.0007053005879666288,0.0,0.0,9.151457962081276e-05
random,dirichlet,3,"CO2,N2,CO",0.99,0.0,0.0,0.0042890879475940575,0.0,0.0,0.005710912052405951,0.0
random,dirichlet,5,"CO2,H2,CH4,O2,CO",0.98,0.0009079633657665534,0.0,0.0,0.002479374742467077,0.011812217336381726,0.004800444555384659,0.0
random,dirichlet,5,"CO2,N2,CH4,O2,CO",0.98,0.0,0.0,0.004114148694580155,0.013398165213361145,0.0006305559190117688,0.0018571301730469466,0.0
random,dirichlet,4,"CO2,N2,CO,H2S",0.95,0.0,0.0,0.02343188864399891,0.0,0.0,0.0032948092215105483,0.023273302134490578
random,dirichlet,5,"CO2,H2,Ar,CH4,H2S",0.97,0.0025361935866949395,0.01287057707233815,0.0,0.0018097600525667616,0.0,0.0,0.012783469288400177
random,dirichlet,4,"CO2,Ar,CH4,CO",0.95,0.0,0.01761695149625845,0.0,0.0035302277428410815,0.0,0.028852820760900507,0.0
