CO2,H2,Ar,N2,CH4,O2,CO,H2S,feed_source,template_name,mixture_size,active_components
0.95,0.0021491668165323453,0.0041737177998703995,0.0036783489557505517,0.039930400497912626,9.13855855144117e-06,3.3845404136423246e-05,2.538196724625912e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.0048091981796140335,0.009074844552164172,0.008292836433446386,0.027701784630197783,3.2731913505412515e-06,2.2125251704390135e-05,9.593776152273642e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.01602405294408166,0.006431798555124119,0.011584503295568368,0.015875142518273516,3.930555817585476e-06,2.459322807990376e-05,5.597890305489476e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.0033608108886607996,0.008564302740081787,0.010972658837766809,0.027076398928080864,2.5123442701090296e-06,1.2037860372220242e-05,1.1278400767456269e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.012450629932835543,0.00270580127388743,0.01659120539990119,0.01821777678690592,7.841840842677083e-06,2.2392136810373535e-05,4.352628816912008e-06,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.029270826708313793,0.006036056860345335,0.007945942138312394,0.0066261796882798,9.608483569022507e-06,2.8478160596708723e-05,8.290796058299845e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.0037691840727447174,0.006260757848078416,0.005379397076499257,0.034541590193284545,9.858044594006926e-06,1.987687087282898e-05,1.9335893926271697e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.015594758746609172,0.011030879437535094,0.012131694179705737,0.011113104389601385,2.8125119779142186e-06,2.7434661617826018e-05,9.931607295291832e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.003834782595414299,0.019632482943634674,0.0008376152675737721,0.025567621336545145,8.09503740337612e-06,3.0792626599657787e-05,8.861019282912259e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.01232369602495539,0.0020642660844473683,0.00721377502137964,0.028299469107010287,5.03266747652507e-06,3.088864812927698e-05,6.287244660155209e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.03547114323832014,0.0006551368459151519,0.01059669691931267,0.003198706895732446,7.244870103582934e-06,6.871027272621022e-06,6.420020334343504e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.0023722619552802664,0.005248664164680053,0.0028897526617274547,0.039472361672497,2.9075543339372468e-06,8.632336557595495e-06,5.419654923738339e-06,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.008313985447950265,0.009518974344007756,0.00014688550205346206,0.031930348902304576,4.643242828529904e-06,2.6505085233981573e-05,5.865747562147624e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.015321493824867919,0.012941505660895223,0.020946710039162274,0.0007046248416878,5.90122432328107e-06,2.3182991861374347e-05,5.658141720217291e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.006408241156390093,0.00253540666858965,0.036375701230641135,0.004579440766267107,5.377198958944408e-07,3.478506446003872e-05,6.588739375612413e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.020702413400625803,0.005020129819742155,0.005489025659984202,0.018697930649792492,8.370348703754927e-06,2.893363597318481e-05,5.3196485178453013e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.023044240632928998,0.00024134756999199996,0.02057105589510886,0.006047483288462505,9.973815717742828e-06,1.7737536298827473e-05,6.816126149110984e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.002064899454726002,0.02360304610047636,0.015261044689075652,0.008980672848178231,2.524622913145195e-06,1.0957838778520522e-05,7.685444585212904e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.00507145016451857,0.03357926294817548,0.0022284815760994616,0.00909009760057614,1.620254033467059e-06,2.4159054574621804e-06,2.667155113946228e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.004968824847559512,0.00926924547633541,0.02117709760148372,0.014525293160043426,8.906725937950915e-06,1.829197838036805e-05,3.234021025965949e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
