CO2,H2,Ar,N2,CH4,O2,CO,H2S,feed_source,template_name,mixture_size,active_components
0.95,0.014420755180788407,0.0011075374247614058,0.017433300158959584,0.016991105867192834,4.259496529795959e-09,4.898705436614495e-06,4.2398403364672246e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.014303980058184384,0.008260927349722764,0.02726937751788389,0.00015308632586978968,7.706298681872325e-06,4.7127525123224355e-06,2.0969714502113712e-07,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.02488872405941165,0.0010366978826550936,0.0009593157054867409,0.023049662730187066,9.957225196617459e-06,1.602603427056454e-06,5.4039793635821424e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.0010808759534472214,0.01441723969263617,0.018579466991004306,0.015800489645512724,6.792258196251036e-06,1.7041068582318256e-05,9.809439062105044e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.003282180861388529,0.023444555371054113,0.011734910586560997,0.011526300737181989,1.9979045436685674e-06,3.781229164692116e-06,6.2733101060508116e-06,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.000718238359110718,0.02944611797196016,0.013342186671745707,0.006415049092908783,1.3870228307541546e-06,3.442368041699749e-06,7.35785134022217e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.0006010925065041313,0.003095691872120929,0.02019675527419656,0.02608724171516494,1.2190687224330921e-06,3.2999549404770233e-07,1.766956779700156e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.022452158047400403,0.010114296911008793,0.012182505723804018,0.005130056942784851,5.340987618369706e-06,1.8259704031217313e-05,9.738168335239638e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.03943665112640764,0.004140267926669059,0.0017537337409515102,0.004617629754247062,1.2350912797103998e-06,9.666699014740058e-06,4.081566143032524e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.0032670171156285064,0.033912292518113014,0.0018756894623296364,0.010897205661110814,4.759652075096384e-06,7.226766729293802e-06,3.580882401367963e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.0032102257599761243,0.02762859327471242,0.01591487964663524,0.0031125571262026392,5.9789690164848265e-06,2.925088798137905e-05,9.851433547575889e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.023018885200327018,0.0020305710725526385,0.005213460666891141,0.019667403212865444,5.4940003345544305e-06,7.646617960783896e-06,5.6539229068466725e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.035453650516836015,0.004555344335939808,0.005108972577634962,0.004800763747029792,3.1494408479229253e-06,3.99751154241991e-06,7.412187016912446e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.03204178967196806,0.001281614652458016,0.0002916008681346979,0.016319737010670143,4.453769191044266e-06,1.4674818468750398e-05,4.612920910933467e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.010346373632892916,0.0041815267139187675,0.01727608717897772,0.018090834964072825,9.610294503037282e-06,2.893868034078779e-05,6.662853529398664e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.005378493430480472,0.01062624255709101,0.02928088538440724,0.004631327702086006,6.017750123747717e-06,3.4896247876475828e-06,7.354355102391867e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.017396819461674692,0.001656571332184266,0.0023185602209659373,0.028600690335506076,2.9978094707208883e-06,1.669279433980048e-05,7.668045858550966e-06,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.004445023630190274,0.03666718539631463,0.006747013758089069,0.002084386857856373,8.373235545269146e-06,1.797269180155682e-05,3.00444302028706e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.016710590641539756,0.002134631872440943,0.016110343284555118,0.014949468059959404,9.424543718344284e-06,2.3973218989516204e-05,6.156837879696397e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.008673545055107,0.0027345153610998318,0.005304762707835016,0.03319581170264294,7.077561364008981e-06,1.9471306757573157e-05,6.481630519367392e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.96,0.0005865735981454867,0.028702638680407226,0.009839060189648013,0.0008170286053564201,8.832285042722354e-06,2.671291197752572e-05,1.9153729422641806e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.96,0.001746286425334602,0.034423484485637194,0.002337541464401822,0.0013941502994432823,1.280528294535921e-07,3.095281495910022e-05,6.745645739458377e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.96,0.0021645810898797448,0.0005372885844749225,0.03604711844398816,0.0011457156973909317,6.937901188047247e-07,1.0230477779504764e-05,9.437191636796508e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.96,0.00588888332600088,0.004128321991295176,0.0018447357270627675,0.028084140572359678,3.6130358489925998e-06,2.6879954163379002e-05,2.3425393269165175e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.96,0.0030344214213223674,0.0009044863728723371,0.016887259550633443,0.01906276953458112,2.235663727688222e-06,3.220206646368867e-05,7.662539039938683e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.96,0.001083857271369597,0.017041692604478343,0.006008004912517812,0.015825636754039918,1.7547620887059014e-06,8.676186837192008e-06,3.0377508668469478e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.96,0.0024036638135668345,0.024938173791478564,0.003415358985432814,0.009186253989241076,8.29923153234078e-06,3.483898764692056e-07,4.7901798871934256e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.96,0.004091071947053823,0.0075783061676919315,0.026738038499861054,0.001566616044425072,7.98825544971762e-06,1.7053305949911728e-05,9.257795685248954e-07,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.96,0.0008183340981169389,0.01564711144880024,0.00027532539696707335,0.023195288162439525,2.196319958342297e-06,2.2511118486076973e-05,3.923345523183784e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.96,0.019656081709057048,0.01841579920138552,0.0014928310470806692,0.0003664520486464662,6.2295333019934864e-06,3.3909770974979825e-05,2.8696689553358648e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.96,0.02502851546281448,0.005693363750999983,0.002354956662683729,0.00689633617448324,6.630409549391448e-06,1.9381116787857297e-06,1.8259427790430263e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.96,0.027658073325062284,0.004045841764462361,0.0047362901368690445,0.0034275494556048228,3.873988171227018e-06,3.2246489718607235e-05,9.612484011169071e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.96,0.0024650971117486,0.019101387201163528,9.101308509016541e-05,0.01828714790822894,1.9064777311661075e-06,2.720550334429773e-05,2.6242712693341585e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.96,0.01879805423521142,0.021105311462616058,7.023247588071418e-06,1.5181059549689574e-05,5.956534916446133e-07,2.6503058341986695e-05,4.73312832011651e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.96,0.008514055667038448,0.013148199264614949,0.003517533403242135,0.01479646842863068,2.6485512714287396e-06,1.912898335447459e-05,1.9657018479185997e-06,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.96,0.011293187468226782,0.01452826402561207,0.00944091893476987,0.004711274662058043,8.606913407047493e-06,1.663238871117267e-05,1.115607215053438e-06,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.96,0.013123331191962828,0.0003128393466626859,0.002103947594029756,0.024404210222582556,5.587311216255487e-06,1.9190231226208856e-05,3.0894102319748654e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.96,0.004199088370494109,0.0013213473550063805,0.017078263338602122,0.01736702647460058,7.636557599964046e-06,2.520055869887617e-05,1.4373449980066913e-06,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.96,0.0255050250901426,0.008885255420954039,0.001026152565060053,0.004451632939503014,8.040474597787486e-06,2.932059115304757e-05,9.457291858949745e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.96,0.0027361784810523695,0.009324553237783318,0.00048762058774253706,0.02741898111032738,7.283747640703301e-06,2.40605366112771e-05,1.3222988424474448e-06,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
