p_bar,x1_AR,y1_AR,t_K,source
18.945,0.0197,0.5685,223.07,"Lasala et al., 2016"
28.639,0.0366,0.6878,223.07,"Lasala et al., 2016"
39.899,0.0576,0.7500,223.07,"Lasala et al., 2016"
48.720,0.0799,0.7744,223.07,"Lasala et al., 2016"
58.570,0.1050,0.7930,223.07,"Lasala et al., 2016"
68.866,0.1290,0.8048,223.07,"Lasala et al., 2016"
79.200,0.1595,0.8089,223.07,"Lasala et al., 2016"
93.178,0.1992,0.8070,223.07,"Lasala et al., 2016"
103.964,0.2347,0.8004,223.07,"Lasala et al., 2016"
116.536,0.2816,0.7860,223.07,"Lasala et al., 2016"
129.593,0.3396,0.7565,223.07,"Lasala et al., 2016"
140.626,0.4086,0.6987,223.07,"Lasala et al., 2016"
145.521,0.4557,0.6574,223.07,"Lasala et al., 2016"
25.502,0.0115,0.1765,253.28,"Coquelet et al., 2008"
37.004,0.0350,0.3730,253.28,"Coquelet et al., 2008"
49.050,0.0612,0.4776,253.28,"Coquelet et al., 2008"
61.376,0.0901,0.5416,253.28,"Coquelet et al., 2008"
73.021,0.1195,0.5768,253.28,"Coquelet et al., 2008"
83.056,0.1460,0.5938,253.28,"Coquelet et al., 2008"
91.918,0.1723,0.6015,253.28,"Coquelet et al., 2008"
100.020,0.1986,0.6026,253.28,"Coquelet et al., 2008"
107.070,0.2234,0.5983,253.28,"Coquelet et al., 2008"
112.010,0.2436,0.5939,253.28,"Coquelet et al., 2008"
117.170,0.2665,0.5879,253.28,"Coquelet et al., 2008"
122.120,0.2912,0.5763,253.28,"Coquelet et al., 2008"
124.030,0.3023,0.5720,253.28,"Coquelet et al., 2008"
126.880,0.3201,0.5602,253.28,"Coquelet et al., 2008"
129.870,0.3433,0.5446,253.28,"Coquelet et al., 2008"
38.229,0.0069,0.0580,273.26,"Coquelet et al., 2008"
47.983,0.0282,0.1856,273.26,"Coquelet et al., 2008"
58.041,0.0513,0.2637,273.26,"Coquelet et al., 2008"
68.098,0.0761,0.3250,273.26,"Coquelet et al., 2008"
78.041,0.1030,0.3577,273.26,"Coquelet et al., 2008"
87.974,0.1324,0.3778,273.26,"Coquelet et al., 2008"
97.877,0.1670,0.3934,273.26,"Coquelet et al., 2008"
104.880,0.1954,0.3922,273.26,"Coquelet et al., 2008"
110.480,0.2232,0.3807,273.26,"Coquelet et al., 2008"
114.920,0.2609,0.3529,273.26,"Coquelet et al., 2008"
115.870,0.2762,0.3342,273.26,"Coquelet et al., 2008"
