T(K),rho_l(kg/m3),rho_v(kg/m3),sigma(mN/m),delta(A)
200.000,1221.9274,7.2496,22.5396,6.7742
201.000,1218.8235,7.5980,22.2618,6.7742
202.000,1215.7077,7.9594,21.9847,6.8710
203.000,1212.5796,8.3339,21.7084,6.9677
204.000,1209.4388,8.7220,21.4327,6.9677
205.000,1206.2848,9.1239,21.1578,6.9677
206.000,1203.1172,9.5401,20.8836,7.1613
207.000,1199.9355,9.9709,20.6101,7.1613
208.000,1196.7392,10.4167,20.3373,7.1613
209.000,1193.5278,10.8779,20.0652,7.2581
210.000,1190.3009,11.3548,19.7939,7.3548
211.000,1187.0580,11.8478,19.5233,7.3548
212.000,1183.7984,12.3574,19.2534,7.4516
213.000,1180.5218,12.8839,18.9843,7.5484
214.000,1177.2276,13.4277,18.7159,7.5484
215.000,1173.9152,13.9894,18.4482,7.6452
216.000,1170.5841,14.5694,18.1813,7.7419
217.000,1167.2337,15.1680,17.9151,7.7419
218.000,1163.8634,15.7857,17.6497,7.8387
219.000,1160.4726,16.4231,17.3850,7.9355
220.000,1157.0607,17.0806,17.1211,8.0323
221.000,1153.6271,17.7587,16.8580,8.0323
222.000,1150.1711,18.4580,16.5957,8.1290
223.000,1146.6920,19.1788,16.3341,8.2258
224.000,1143.1892,19.9219,16.0733,8.2258
225.000,1139.6620,20.6877,15.8133,8.4194
226.000,1136.1097,21.4768,15.5541,8.4194
227.000,1132.5314,22.2899,15.2958,8.6129
228.000,1128.9265,23.1274,15.0382,8.6129
229.000,1125.2941,23.9900,14.7815,8.6129
230.000,1121.6334,24.8784,14.5256,8.8065
231.000,1117.9436,25.7933,14.2705,8.8065
232.000,1114.2238,26.7353,14.0163,9.0000
233.000,1110.4731,27.7051,13.7630,9.0000
234.000,1106.6905,28.7034,13.5105,9.1935
235.000,1102.8752,29.7311,13.2589,9.1935
236.000,1099.0260,30.7889,13.0082,9.2903
237.000,1095.1420,31.8776,12.7584,9.3871
238.000,1091.2221,32.9980,12.5095,9.4839
239.000,1087.2651,34.1511,12.2615,9.5806
240.000,1083.2700,35.3377,12.0145,9.6774
241.000,1079.2354,36.5588,11.7684,9.8710
242.000,1075.1602,37.8154,11.5233,9.8710
243.000,1071.0430,39.1084,11.2792,10.0645
244.000,1066.8825,40.4390,11.0361,10.1613
245.000,1062.6772,41.8083,10.7940,10.2581
246.000,1058.4256,43.2173,10.5529,10.4516
247.000,1054.1262,44.6674,10.3128,10.4516
248.000,1049.7774,46.1598,10.0738,10.6452
249.000,1045.3774,47.6958,9.8359,10.7419
250.000,1040.9245,49.2768,9.5991,10.8387
251.000,1036.4168,50.9042,9.3634,11.0323
252.000,1031.8524,52.5796,9.1289,11.1290
253.000,1027.2291,54.3046,8.8955,11.3226
254.000,1022.5448,56.0809,8.6632,11.5161
255.000,1017.7972,57.9102,8.4322,11.6129
256.000,1012.9838,59.7944,8.2024,11.7097
257.000,1008.1022,61.7355,7.9739,11.9032
258.000,1003.1497,63.7356,7.7466,12.0968
259.000,998.1233,65.7969,7.5207,12.2903
260.000,993.0200,67.9218,7.2961,12.4839
261.000,987.8367,70.1127,7.0728,12.6774
262.000,982.5699,72.3722,6.8510,12.8710
263.000,977.2160,74.7033,6.6306,13.0645
264.000,971.7711,77.1089,6.4116,13.2581
265.000,966.2311,79.5921,6.1942,13.4516
266.000,960.5915,82.1566,5.9782,13.6452
267.000,954.8476,84.8058,5.7639,13.9355
268.000,948.9943,87.5439,5.5512,14.1290
269.000,943.0262,90.3750,5.3402,14.3226
270.000,936.9373,93.3038,5.1308,14.7097
271.000,930.7213,96.3351,4.9233,14.9032
272.000,924.3713,99.4745,4.7176,15.2903
273.000,917.8797,102.7278,4.5137,15.4839
274.000,911.2385,106.1012,4.3118,15.8710
275.000,904.4387,109.6019,4.1119,16.1613
276.000,897.4706,113.2374,3.9140,16.5484
277.000,890.3235,117.0161,3.7183,16.9355
278.000,882.9858,120.9474,3.5249,17.3226
279.000,875.4444,125.0414,3.3337,17.7097
280.000,867.6848,129.3096,3.1450,18.1935
281.000,859.6911,133.7648,2.9587,18.6774
282.000,851.4453,138.4212,2.7751,19.1613
283.000,842.9271,143.2950,2.5942,19.7419
284.000,834.1138,148.4046,2.4161,20.3226
285.000,824.9794,153.7709,2.2411,20.9032
286.000,815.4941,159.4180,2.0691,21.6774
287.000,805.6238,165.3737,1.9006,21.3529
288.000,795.3285,171.6707,1.7355,23.2258
289.000,784.5617,178.3474,1.5742,25.2353
290.000,773.2681,185.4497,1.4168,25.2353
291.000,761.3814,193.0329,1.2637,25.2353
292.000,748.8210,201.1650,1.1151,29.1176
293.000,735.4878,209.9306,0.9715,29.1176
294.000,721.2566,219.4371,0.8332,31.0588
295.000,705.9666,229.8247,0.7007,33.0000
296.000,689.4047,241.2817,0.5747,36.8824
297.000,671.2781,254.0702,0.4560,38.8235
298.000,651.1645,268.5753,0.3454,42.7059
299.000,628.4121,285.4016,0.2443,50.4706
300.000,601.9077,305.6029,0.1543,58.2353
301.000,569.3985,331.3547,0.0784,73.7647
