T_K,P_bar,gamma_mN_m
200.000000,2.623982,22.539601
200.516134,2.693093,22.396137
201.032268,2.763609,22.252863
201.548402,2.835549,22.109778
202.064536,2.908932,21.966884
202.580670,2.983778,21.824178
203.096804,3.060106,21.681663
203.612938,3.137936,21.539338
204.129072,3.217287,21.397203
204.645206,3.298179,21.255259
205.161340,3.380633,21.113505
205.677474,3.464668,20.971942
206.193608,3.550304,20.830570
206.709741,3.637561,20.689390
207.225875,3.726460,20.548400
207.742009,3.817022,20.407603
208.258143,3.909266,20.266998
208.774277,4.003213,20.126585
209.290411,4.098884,19.986366
209.806545,4.196300,19.846339
210.322679,4.295481,19.706506
210.838813,4.396449,19.566867
211.354947,4.499225,19.427422
211.871081,4.603830,19.288172
212.387215,4.710285,19.149117
212.903349,4.818611,19.010258
213.419483,4.928830,18.871596
213.935617,5.040964,18.733130
214.451751,5.155034,18.594861
214.967885,5.271062,18.456790
215.484019,5.389069,18.318917
216.000153,5.509078,18.181244
216.516287,5.631111,18.043770
217.032421,5.755190,17.906496
217.548555,5.881336,17.769423
218.064689,6.009573,17.632551
218.580823,6.139922,17.495882
219.096956,6.272406,17.359416
219.613090,6.407047,17.223153
220.129224,6.543869,17.087095
220.645358,6.682894,16.951241
221.161492,6.824144,16.815594
221.677626,6.967643,16.680154
222.193760,7.113414,16.544921
222.709894,7.261479,16.409896
223.226028,7.411862,16.275081
223.742162,7.564586,16.140477
224.258296,7.719674,16.006083
224.774430,7.877150,15.871902
225.290564,8.037038,15.737933
225.806698,8.199361,15.604179
226.322832,8.364142,15.470640
226.838966,8.531405,15.337317
227.355100,8.701175,15.204211
227.871234,8.873475,15.071323
228.387368,9.048329,14.938655
228.903502,9.225761,14.806208
229.419636,9.405796,14.673982
229.935770,9.588458,14.541979
230.451904,9.773772,14.410200
230.968038,9.961760,14.278647
231.484171,10.152450,14.147320
232.000305,10.345864,14.016221
232.516439,10.542028,13.885351
233.032573,10.740967,13.754712
233.548707,10.942705,13.624305
234.064841,11.147267,13.494132
234.580975,11.354680,13.364193
235.097109,11.564967,13.234491
235.613243,11.778154,13.105026
236.129377,11.994267,12.975801
236.645511,12.213331,12.846816
237.161645,12.435372,12.718075
237.677779,12.660415,12.589577
238.193913,12.888487,12.461325
238.710047,13.119612,12.333321
239.226181,13.353818,12.205566
239.742315,13.591130,12.078062
240.258449,13.831574,11.950810
240.774583,14.075177,11.823814
241.290717,14.321964,11.697074
241.806851,14.571964,11.570592
242.322985,14.825201,11.444371
242.839119,15.081703,11.318412
243.355253,15.341498,11.192717
243.871386,15.604610,11.067290
244.387520,15.871069,10.942130
244.903654,16.140900,10.817242
245.419788,16.414131,10.692627
245.935922,16.690790,10.568286
246.452056,16.970903,10.444224
246.968190,17.254500,10.320441
247.484324,17.541606,10.196941
248.000458,17.832251,10.073725
248.516592,18.126462,9.950797
249.032726,18.424267,9.828158
249.548860,18.725695,9.705812
250.064994,19.030774,9.583761
