curve,T_K,P_bar
bubble,200.0,43.165951125010174
bubble,221.42014387076162,36.96480241070375
bubble,242.84028774152324,38.56712988339126
bubble,264.26043161228483,47.654488484514054
bubble,285.6805754830465,64.83110357870423
bubble,289.4395304236129,68.67285178142727
bubble,293.1984853641793,72.69525468705326
bubble,300.71639524531207,80.28658389446807
dew,200.0,2.708699482690246
dew,221.42014387076162,7.128804097060747
dew,242.84028774152324,15.630257953117022
dew,264.26043161228483,30.14847592762795
dew,285.6805754830465,53.28181149939728
dew,289.4395304236129,58.54374000908948
dew,293.1984853641793,64.29186471351454
dew,300.71639524531207,80.28658389446807
