idx,split,source_id,temperature,pressure,actual,predicted,residual
9684,test,50,200.0,55.55659655047255,121.63578488730565,113.03575779137574,8.600027095929903
4648,test,24,205.0,23.62972549951982,94.26307186109342,92.78318831010321,1.479883550990209
4086,test,21,215.0,119.12163194698095,119.12173194698096,123.07398554022996,-3.9522535932489973
4072,test,21,210.0,46.542000679353336,130.85195443489903,128.67279404739548,2.1791603875035435
19166,test,99,200.0,2.6802950720210865,89.30702177971847,87.5506299107266,1.7563918689918694
1921,test,10,200.0,39.04752160524243,111.66569983019112,110.1950783264882,1.4706215037029153
9685,test,50,200.0,68.77241421783917,121.63578488730565,112.91821963816494,8.717565249140705
9697,test,50,210.0,4.3415979644527605,96.54171462420372,94.70352293838826,1.8381916858154597
9680,test,50,200.0,2.693325881006085,121.63578488730565,111.2512551800724,10.384529707233241
4053,test,21,200.0,2.719736032414056,162.87531207850523,145.94139226553798,16.933919812967247
4650,test,24,205.0,53.90111679733708,94.26307186109342,92.80108022923639,1.4619916318570318
4062,test,21,205.0,3.476657721922121,145.20398553252895,135.8105129011364,9.393472631392541
4079,test,21,215.0,5.470589117246241,119.12173194698096,117.18739258365792,1.9343393633230335
15315,test,79,205.0,3.502794465671043,126.70738967700592,123.19059868133061,3.516790995675308
4638,test,24,200.0,25.5619025171185,105.58327192678914,101.09955299584513,4.483718930944008
1924,test,10,200.0,99.56258679269968,111.66569983019112,110.24255563655606,1.4231441936350535
15310,test,79,200.0,47.537700556788366,137.13583353064735,132.95109252586386,4.18474100478349
8153,test,42,205.0,112.5709137130004,112.5710137130004,114.49234256475532,-1.9213288517549216
8144,test,42,200.0,123.09188627249524,123.09198627249523,125.7435344517275,-2.6515481792322646
15309,test,79,200.0,32.60469506114519,137.13583353064735,132.89829377153967,4.237539759107676
4070,test,21,210.0,18.43871609417144,130.85195443489903,128.43871887747596,2.4132355574230644
15308,test,79,200.0,17.671689565502028,137.13583353064735,132.55468511791761,4.581148412729732
4074,test,21,210.0,74.64528526453523,130.85195443489903,127.81199207649506,3.039962358403969
8137,val,42,200.0,16.099004835021546,123.09198627249523,121.33284182109453,1.7591444514007009
4066,val,21,205.0,97.9614762623267,145.20398553252895,137.17328154977082,8.030703982758126
1922,val,10,200.0,75.35656071771677,111.66569983019112,110.24999610457189,1.415703725619224
15340,val,79,215.0,110.06194241609832,110.06204241609834,111.63185409433821,-1.5698116782398728
4065,val,21,205.0,66.4665367488585,145.20398553252895,138.55023226674825,6.6537532657806935
4644,val,24,200.0,94.1515620111219,105.58327192678914,103.08743070596634,2.495841220822797
4069,val,21,210.0,4.3870738015804935,130.85195443489903,126.16956244869372,4.682391986205303
9683,val,50,200.0,42.34077888310593,121.63578488730565,113.25340317121237,8.382381716093278
15312,val,79,200.0,77.4037115480747,137.13583353064735,133.00782364085774,4.12800988978961
9694,val,50,205.0,49.747760812073935,107.63039345951373,103.8497930426734,3.780600416840329
4071,val,21,210.0,32.49035838676239,130.85195443489903,128.88937822215422,1.962576212744807
1918,val,10,200.0,2.738482492768076,111.66569983019112,109.18911978839782,2.476580041793298
9693,val,50,205.0,38.17125428258598,107.63039345951373,103.97284965447284,3.6575438050408877
15311,val,79,200.0,62.47070605243153,137.13583353064735,133.09137660406387,4.044456926583479
12592,val,65,200.0,15.398292029946944,59.94280524702199,58.419630982677994,1.523174264343993
15316,val,79,205.0,17.192182822486032,126.70738967700592,124.48843443090826,2.2189552460976643
9690,val,50,205.0,3.4417346941221187,107.63039345951373,102.66941500449262,4.960978455021106
