trial_id,loss,FINGERPRINT_FEATURE,MIN_UNIQUE_FOR_NUMERICAL_FEATURES,OUTLIER_REMOVAL_STD,POLYNOMIAL_FEATURES,PREPROCESS_TRANSFORMS,REGRESSION_Y_PREPROCESS_TRANSFORMS,average_before_softmax,model_path,model_type,n_estimators,softmax_temperature
22,0.0474910617559318,0,1,2,0,149,1,0,0,0,0,3
31,0.049832859746184635,0,1,2,0,2,1,0,1,0,0,3
48,0.05042916708219652,0,1,0,0,66,1,0,1,0,0,5
79,0.05124415870656297,0,2,1,0,143,1,0,2,0,0,2
25,0.05149296061733919,0,1,2,0,155,1,0,0,0,0,3
30,0.05201161707347292,0,1,2,0,152,1,0,3,0,0,3
98,0.052792659691577905,0,0,2,0,44,1,0,2,0,0,3
16,0.054856428562485286,0,0,2,0,20,1,0,0,0,0,3
67,0.056398564926694365,0,1,0,0,150,1,0,1,0,0,5
71,0.05653819035115537,0,1,0,0,72,1,0,1,0,0,5
73,0.05786748860250212,0,1,0,0,154,1,0,3,0,0,3
33,0.05843063235368223,0,1,2,0,40,2,0,1,0,0,0
41,0.05860555167145105,0,2,2,0,2,2,0,3,0,0,5
24,0.059556598825793054,0,0,2,0,20,1,0,0,0,0,3
2,0.06041233287078819,0,1,0,0,149,1,0,6,0,0,0
90,0.060501609983766316,0,1,1,0,54,1,0,1,0,0,3
44,0.06069234862572021,1,2,2,0,175,1,0,1,0,0,0
59,0.06161981066963311,0,1,0,0,167,1,0,4,0,0,3
0,0.06243231611555605,0,3,0,0,100,2,0,1,0,0,3
82,0.06311571595637831,1,1,2,0,31,0,1,1,0,0,3
93,0.06404932890299653,0,1,2,0,12,0,0,1,0,0,0
80,0.06412888915041413,0,1,2,0,66,1,0,3,0,0,5
69,0.06419069668518575,0,1,0,0,2,1,0,1,0,0,5
20,0.06420523940860456,0,1,0,0,46,1,0,6,0,0,0
8,0.06558624677077127,1,0,0,0,8,2,0,2,0,0,0
77,0.06646259149146294,0,1,0,0,66,0,1,1,0,0,0
23,0.06675769238927542,0,3,2,0,117,1,0,0,0,0,3
54,0.06691797526054523,0,0,2,0,107,2,0,3,0,0,4
3,0.06703866946094028,0,3,2,0,11,2,1,6,0,0,2
75,0.06729520191580159,0,1,2,0,115,1,0,0,0,0,3
42,0.06759252117289348,1,1,1,0,6,1,1,4,0,0,1
6,0.0680570072626778,0,2,1,0,48,1,0,3,0,0,1
26,0.06901321643703118,0,1,2,0,155,1,0,0,0,0,3
36,0.06915792874961715,0,2,2,0,27,1,0,1,0,0,3
28,0.0693933118154555,0,1,2,0,171,1,0,1,0,0,3
40,0.07215511841849234,0,3,2,0,136,1,0,1,0,0,3
65,0.07228659305551856,0,1,0,0,149,1,0,1,0,0,5
96,0.07262064302761945,1,1,0,0,132,1,0,1,0,0,2
34,0.07309221586412205,0,1,2,0,134,1,0,1,0,0,5
55,0.07477901319338466,0,1,0,0,22,1,0,0,0,0,2
86,0.0750539004855742,0,1,2,0,103,2,1,1,0,0,3
38,0.07516756160037016,0,2,1,0,135,2,1,2,0,0,0
61,0.0760325302910782,1,1,2,0,133,1,0,0,0,0,4
60,0.0772655287595154,0,3,2,0,69,2,0,1,0,0,3
50,0.07803170572150887,1,1,2,0,14,2,0,4,0,0,3
43,0.07856488084743549,0,1,2,0,109,0,0,2,0,0,3
37,0.08145009405711874,0,1,2,0,126,1,0,4,0,0,4
57,0.0817223599608535,1,1,2,0,129,1,1,1,0,0,3
74,0.08174587001403086,0,3,2,0,36,1,0,1,0,0,5
21,0.08203831533036025,0,1,1,0,111,1,0,0,0,0,3
9,0.0823749819423972,0,1,2,0,74,0,0,0,0,0,2
76,0.08250637044793564,0,1,2,0,38,2,0,4,0,0,4
84,0.08297022391769046,0,2,1,0,89,1,0,4,0,0,0
52,0.0829957213612794,0,3,2,0,64,1,0,0,0,0,0
95,0.08344351485323194,0,1,1,0,102,1,1,4,0,0,3
64,0.08405337266880872,0,2,1,0,90,1,0,0,0,0,2
32,0.08902391894471033,0,3,2,0,149,1,1,1,0,0,4
13,0.08931875667570817,1,0,0,0,84,0,0,4,0,0,2
7,0.08950861248884705,0,2,1,0,164,1,1,5,0,0,1
58,0.08962038159500146,0,0,1,0,16,1,0,0,0,0,5
14,0.08971611057640563,1,0,0,0,19,1,1,6,0,0,2
88,0.08987169679055311,0,1,0,0,32,0,0,2,0,0,2
94,0.0907885697892066,0,3,2,0,92,1,0,0,0,0,4
62,0.09099233653234103,0,1,2,0,39,0,1,6,0,0,0
19,0.09118207248974484,0,0,0,0,106,0,1,1,0,0,5
18,0.09123336292918852,1,1,0,0,159,2,0,4,0,0,4
97,0.09485266611360942,0,2,2,0,26,2,0,6,0,0,5
63,0.09489354181514466,0,0,0,0,5,1,0,2,0,0,3
27,0.0954843460558403,0,1,2,0,21,1,0,0,0,0,3
66,0.09580218472707647,0,1,0,0,76,1,0,1,0,0,5
39,0.09580740029366686,1,1,2,0,85,0,0,6,0,0,1
78,0.09907816968810945,1,0,2,0,75,1,0,6,0,0,3
92,0.10031186535821285,0,0,0,0,80,2,0,5,0,0,5
51,0.1003389473528393,0,0,0,0,57,0,0,2,0,0,2
70,0.10320435486434953,0,1,0,0,123,1,0,1,0,0,5
46,0.10328698674069635,0,1,2,0,163,2,1,6,0,0,4
5,0.10655374802540403,1,0,2,0,8,0,0,2,0,0,2
11,0.10843754034119804,0,2,2,0,128,2,1,5,0,0,4
72,0.10870514009561334,0,1,0,0,70,1,0,5,0,0,1
17,0.10924787258218716,1,3,1,0,98,2,1,5,0,0,2
47,0.10986909615839885,1,3,1,0,96,0,0,3,0,0,1
10,0.10987391641200774,1,1,2,0,156,1,0,5,0,0,1
68,0.10998462936284102,0,1,0,0,23,1,0,1,0,0,5
91,0.11079151691421728,1,2,2,0,124,1,1,3,0,0,3
85,0.11125390846166583,0,0,0,0,3,1,0,0,0,0,4
12,0.1174099152134742,1,0,2,0,0,0,0,0,0,0,1
99,0.11905225126488338,0,1,0,0,42,0,0,0,0,0,1
29,0.11927919173366702,0,1,1,0,62,1,0,0,0,0,3
1,0.1203468205640664,0,1,2,0,77,2,1,2,0,0,4
87,0.1258116937029108,1,3,2,0,168,1,0,6,0,0,5
53,0.12751476360448746,1,1,1,0,63,1,1,6,0,0,3
56,0.12823383730481605,0,2,2,0,91,0,0,5,0,0,1
89,0.12982510208168602,0,1,2,0,78,1,0,0,0,0,1
15,0.13386256233888535,0,0,0,0,65,1,0,3,0,0,5
81,0.13443609718648253,0,3,0,0,56,2,0,0,0,0,1
45,0.13767327940357071,0,1,0,0,52,1,0,5,0,0,2
49,0.14733997239786556,0,2,2,0,105,1,1,5,0,0,3
35,0.15677996184838827,0,3,1,0,34,0,1,2,0,0,3
83,0.15947146929755446,0,1,2,0,161,1,0,5,0,0,3
4,0.22046004291876037,0,2,2,0,24,0,0,5,0,0,5
