trial_id,loss,FINGERPRINT_FEATURE,MIN_UNIQUE_FOR_NUMERICAL_FEATURES,OUTLIER_REMOVAL_STD,POLYNOMIAL_FEATURES,PREPROCESS_TRANSFORMS,REGRESSION_Y_PREPROCESS_TRANSFORMS,average_before_softmax,model_path,model_type,n_estimators,softmax_temperature
72,0.007469878870040933,1,3,0,0,166,1,1,5,0,0,1
66,0.007722219907262173,1,3,0,0,166,1,1,5,0,0,1
70,0.00783359094113639,1,3,0,0,116,1,1,5,0,0,1
67,0.00788306767550218,1,3,0,0,166,1,1,5,0,0,1
21,0.008038745056761944,0,0,2,0,109,1,0,5,0,0,3
60,0.008158415111709514,1,0,0,0,166,1,0,5,0,0,1
64,0.008221477026042319,1,3,0,0,166,1,1,5,0,0,1
24,0.008235958915148424,0,0,0,0,110,1,0,1,0,0,4
23,0.008329913701669236,0,0,0,0,110,1,0,1,0,0,4
68,0.008336068852741504,1,3,0,0,169,1,1,5,0,0,1
44,0.008369507619124418,0,0,1,0,121,1,0,1,0,0,2
76,0.00849212441519856,1,3,0,0,98,1,1,5,0,0,1
49,0.008532959900067789,0,1,2,0,109,0,0,1,0,0,0
71,0.008986716196910775,1,3,0,0,46,1,1,5,0,0,1
90,0.009137571160785923,1,3,0,0,14,0,1,5,0,0,2
82,0.009352247178724486,1,3,0,0,114,2,1,5,0,0,1
69,0.00937769285737117,1,3,0,0,25,1,1,5,0,0,1
28,0.009448448788239673,0,1,0,0,158,1,0,1,0,0,0
7,0.009551420454192092,0,0,2,0,175,1,0,0,0,0,1
65,0.009600833450731892,1,3,0,0,144,1,1,5,0,0,1
4,0.00968036643770726,0,3,2,0,177,1,0,5,0,0,3
20,0.009749431446707691,0,1,0,0,177,1,0,5,0,0,0
26,0.010352522977056836,0,0,0,0,109,1,0,3,0,0,4
39,0.010379204746753789,0,0,1,0,136,1,0,1,0,0,3
2,0.0104283218731825,0,2,1,0,128,1,1,2,0,0,3
6,0.010472034639299653,1,0,2,0,99,1,0,6,0,0,3
29,0.010485538481913824,0,0,0,0,143,2,0,5,0,0,4
75,0.010542052289685513,1,3,0,0,43,1,1,2,0,0,1
30,0.010566253085554754,0,1,0,0,130,1,0,5,0,0,2
