property,display_property,method,target_range,cv_rmse_mean,cv_rmse_std,cv_nrmse_mean,cv_nrmse_std,cv_r2_mean,cv_r2_std,test_rmse,test_nrmse,test_r2,target,source
P_bubble,$\mathrm{P_{bubble}}$,without_HPO,159.5364814287225,2.731910843593073,0.5871526297966355,0.01712405099528055,0.0036803659234453077,0.982770332330454,0.006198405488525648,0.18249322414305513,0.001143896508865837,0.9999304233602779,P_bubble,without_HPO/TabPFN_P_bubble_OUTPUTS/TabPFN_P_bubble_metrics.json
P_bubble,$\mathrm{P_{bubble}}$,with_HPO,159.5364814287225,1.3131476497299999,0.30206121093015037,0.008231017996449208,0.001893367637452283,0.9959902549228381,0.0015966654233787103,0.03581863258147598,0.00022451687702213101,0.999997183637961,P_bubble,with_HPO/SLURMBubble/TabPFN_P_bubble_metrics.json
P_bubble,$\mathrm{P_{bubble}}$,RF_TabPFN,159.5364814287225,3.3899862110401977,1.3077554866402537,0.021248971900854986,0.00819721906192679,0.9721342180176309,0.017623414600336746,0.10404533788010235,0.0006521727002396476,0.9999773840303883,P_bubble,RF_TabPFN/SLURMBubble/RF_TabPFN_P_bubble_metrics.json
P_dew,$\mathrm{P_{dew}}$,without_HPO,75.95711696442993,0.29829169500640784,0.07731275017318805,0.003927106595503029,0.0010178473494378802,0.9997162095769496,0.00015148434481257694,0.1351457787801318,0.0017792378671167759,0.9999465868037972,P_dew,without_HPO/TabPFN_P_dew_OUTPUTS/TabPFN_P_dew_metrics.json
P_dew,$\mathrm{P_{dew}}$,with_HPO,75.95711696442993,0.20123504519728347,0.18445522190233232,0.002649324424616065,0.0024284126264127576,0.9997773024232102,0.00037070004646180544,0.0021367798653727696,2.8131397698696297e-05,0.99999998641241,P_dew,with_HPO/SLURMDew/TabPFN_P_dew_metrics.json
P_dew,$\mathrm{P_{dew}}$,RF_TabPFN,75.95711696442993,0.29619986468797566,0.1383475509643757,0.003899566973120946,0.0018213902329805736,0.999680712759037,0.0003078677712634626,0.03583710865298538,0.0004718071207174384,0.9999962441388983,P_dew,RF_TabPFN/SLURMDew/RF_TabPFN_P_dew_metrics.json
gamma,$\mathrm{\gamma}$,without_HPO,22.479137373015003,0.16297464853442173,0.01718336707277683,0.007250040151899425,0.0007644139891864597,0.999290085069387,0.00016067752222447964,0.040620830925856326,0.0018070458065984085,0.9999559813583884,gamma,without_HPO/TabPFN_gamma_OUTPUTS/TabPFN_gamma_metrics.json
gamma,$\mathrm{\gamma}$,with_HPO,22.479137373015003,0.03951947595435171,0.009374936471775782,0.0017580512676519658,0.00041705054407603246,0.9999564662299386,1.9805106908527577e-05,0.006029618874810746,0.00026823177307724357,0.9999990620219736,gamma,with_HPO/SLURMGamma/TabPFN_gamma_metrics.json
gamma,$\mathrm{\gamma}$,RF_TabPFN,22.479137373015003,0.15711502041572756,0.04308049164877192,0.006989370535380761,0.0019164655179556727,0.9993004454203012,0.00037216661377045867,0.01614591502708721,0.000718262216168024,0.999993045524915,gamma,RF_TabPFN/SLURMGamma/RF_TabPFN_gamma_metrics.json
interfacial_thickness,$\mathrm{thickness}$,without_HPO,4.976945403451361,0.02723935387825242,0.014272933814584192,0.005473106829615361,0.0028678100034383227,0.9980196446602948,0.002136868486919954,0.00843441297508058,0.001694696704776301,0.9998501172110978,interfacial_thickness,without_HPO/TabPFN_interfacial_thickness_OUTPUTS/TabPFN_interfacial_thickness_metrics.json
interfacial_thickness,$\mathrm{thickness}$,with_HPO,4.976945403451361,0.027685277098621962,0.008135483926481734,0.0055627046017870845,0.0016346339505432432,0.9982109779955801,0.0009642303644990027,0.007016741719628712,0.0014098490441070166,0.9998962679349033,interfacial_thickness,with_HPO/SLURMTHICKNESS/TabPFN_interfacial_thickness_metrics.json
interfacial_thickness,$\mathrm{thickness}$,RF_TabPFN,4.976945403451361,0.032026181480014085,0.020490055896429996,0.006434907133561259,0.004116994307838049,0.9969795534844458,0.0038204357198573288,0.007034753473384761,0.0014134680819496979,0.9998957346975276,interfacial_thickness,RF_TabPFN/SLURMTHICKNESS/RF_TabPFN_interfacial_thickness_metrics.json
