idx,split,source_id,temperature,pressure,actual,predicted,residual
5989,test,30,290.0,63.829678316367065,60.54638190248964,61.065956,-0.5195740975103575
9672,test,49,295.0,70.38149588951784,69.07998924373878,68.55616,0.5238292437387742
15687,test,80,295.0,72.45115847245675,69.39768820199494,69.8248,-0.4271117980050576
8905,test,45,290.0,64.55801177114095,60.47364583500093,60.917572,-0.4439261649990698
17815,test,91,285.0,57.163540015672965,52.04766800706821,52.491844,-0.44417599293178966
15291,test,78,290.0,60.27482582316762,57.59734802968727,58.04357,-0.4462219703127346
7166,test,36,290.0,62.23928631014628,60.03762006425522,60.422348,-0.3847279357447775
2299,test,11,290.0,65.51232748021215,60.32380426469487,60.750324,-0.42651973530512777
10639,test,54,290.0,57.158471744495024,56.575095478324506,57.002552,-0.4274565216754951
16279,test,83,295.0,71.39080089272281,66.22984607694808,66.798904,-0.5690579230519148
18199,test,93,290.0,58.28938996397329,57.29678618334104,57.678314,-0.3815278166589593
19155,test,98,285.0,67.5440864158257,53.42860126107073,53.889084,-0.46048273892926517
4038,test,20,285.0,56.15420906637247,52.52433965725746,52.946243,-0.4219033427425458
10435,test,53,285.0,53.05728556297103,53.05718556297103,53.455315,-0.3981294370289703
12382,test,63,295.0,72.72122224076676,69.99571630851217,70.411575,-0.41585869148782706
3080,test,15,295.0,68.87175059772477,65.62438510253718,66.23211,-0.6077248974628304
15688,test,80,295.0,73.97784360768766,69.39768820199494,69.947945,-0.5502567980050657
14109,test,72,290.0,61.87966213511676,61.87956213511676,62.308613,-0.4290508648832443
11802,test,60,295.0,66.12156250407682,66.12146250407682,66.61383,-0.4923674959231761
5797,test,29,290.0,64.45727607537718,60.4524910654573,60.870567,-0.4180759345426992
5602,test,28,285.0,65.41100472162329,53.083073628243376,53.513847,-0.4307733717566222
5795,test,29,290.0,62.45493357041724,60.4524910654573,60.873978,-0.42148693454269903
9670,test,49,295.0,69.08008924373878,69.07998924373878,68.46982,0.6101692437387811
14121,test,72,295.0,74.7700457687631,73.16672003142884,73.72625,-0.5595299685711552
15689,test,80,295.0,75.50452874291857,69.39768820199494,69.90738,-0.5096917980050648
11223,test,57,295.0,72.07222707241957,72.07212707241956,72.55924,-0.48711292758044067
9278,test,47,285.0,63.14165439596202,53.38895976724034,53.78138,-0.39242023275966176
19357,test,99,295.0,73.96564643189741,66.46919271207298,67.11048,-0.641287287927014
14899,test,76,290.0,63.09609646732931,60.65764308308809,61.19696,-0.5393169169119076
15691,test,80,295.0,78.55789901338036,69.39768820199494,69.94203,-0.544341798005064
9870,test,50,295.0,74.52560049247282,66.83876913694161,67.44025,-0.6014808630583985
11222,test,57,290.0,73.9214456366045,61.33610401823559,61.865173,-0.5290689817644108
12586,test,64,295.0,70.80114644325671,66.49272834437633,67.10688,-0.6141516556236724
15097,test,77,295.0,73.00976898459065,73.00966898459065,73.3914,-0.3817310154093576
15287,test,78,290.0,57.59744802968727,57.59734802968727,58.06076,-0.46341197031273396
3078,test,15,295.0,67.57284439964974,65.62438510253718,66.18392,-0.5595348974628251
15295,test,78,290.0,62.95220361664797,57.59734802968727,58.115334,-0.5179859703127292
11220,test,57,290.0,71.12472527696697,61.33610401823559,61.75151,-0.41540598176441534
15293,test,78,290.0,61.61351471990779,57.59734802968727,58.066113,-0.46876497031273345
10638,test,54,290.0,57.0126526779524,56.575095478324506,57.030952,-0.45585652167549284
