idx,split,source_id,temperature,pressure,actual,predicted,residual
18616,test,96,210.0,4.372368049774917,19.75919350199001,19.8817,-0.12250649800999014
13957,test,72,210.0,24.43992043048723,15.494735854618066,15.60981,-0.11507414538193395
15312,test,79,200.0,77.4037115480747,18.91407787701346,18.634398,0.27967987701346075
19172,test,99,205.0,3.427409755937745,21.154574049146376,21.30725,-0.15267595085362373
7191,test,37,205.0,28.53063195890557,16.395077476949126,16.516289,-0.12121152305087435
9307,test,48,205.0,24.13944152392798,17.415768189966517,17.536015,-0.12024681003348192
2707,test,14,205.0,4.785502771703645,20.62621328077058,20.741224,-0.11501071922942074
15322,test,79,205.0,126.70728967700592,16.230769847582092,16.689968,-0.4591981524179083
15503,test,80,200.0,77.39099786438683,17.702241584677576,17.591837,0.11040458467757475
8144,test,42,200.0,123.09188627249524,17.33229121689312,17.806412,-0.47412078310688344
9905,test,51,210.0,4.361821156600234,19.73874284568137,19.872427,-0.13368415431862957
10646,test,55,200.0,3.379845913455591,22.30994800742932,22.443005,-0.1330569925706797
2143,test,11,210.0,32.483850876420625,15.17255873092198,15.313585,-0.1410262690780204
16497,test,85,205.0,5.319843445303664,20.08781691614425,20.250898,-0.16308108385575082
789,test,4,205.0,8.936027823901698,19.253167768700752,19.366777,-0.11360923129924672
18624,test,96,210.0,16.38660745334468,17.15039562938854,17.268158,-0.11776237061145878
17840,test,92,205.0,10.651760681093853,18.77166654750036,18.884392,-0.11272545249963883
4061,test,21,200.0,162.87521207850523,16.973691312188215,17.44968,-0.4759886878117854
3292,test,17,200.0,3.338730649782717,22.128811059460944,22.249653,-0.12084194053905506
1349,test,7,200.0,3.813751875504972,22.1240196316832,22.243889,-0.11986936831679884
16085,test,83,200.0,2.680217357532955,22.53098460825213,22.684011,-0.15302639174787203
11813,test,61,200.0,4.225692880051792,22.05736965167648,22.177876,-0.12050634832352003
15714,test,81,205.0,19.4355761819613,16.580886302209112,16.703234,-0.12234769779088595
198,test,1,200.0,3.995164317558884,21.83494799203397,21.945248,-0.11030000796602835
19201,test,99,220.0,6.656298229767126,17.115507252875048,17.248028,-0.13252074712495343
7189,test,37,205.0,22.28323263208511,17.205811155245108,17.34245,-0.1366388447548914
15483,test,79,290.0,79.63420293207155,0.941999828716763,0.81940556,0.12259426871676304
14537,test,75,205.0,3.426791556928463,21.13444300915934,21.263298,-0.128854990840658
4059,test,21,200.0,127.28510629048498,17.90417252150661,18.093641,-0.1894684784933922
8339,test,43,200.0,15.1466347897148,19.14843125100337,19.298483,-0.15005174899663132
13388,test,69,210.0,19.33120332878411,15.62210190825993,15.747492,-0.1253900917400692
18606,test,96,205.0,3.463900375958302,21.128537119782813,21.284971,-0.15643388021718607
9704,test,50,210.0,76.05272203314796,16.994612673815404,16.878386,0.11622667381540452
1558,test,8,210.0,4.372381870616634,19.7571064255498,19.884438,-0.12733157445019927
1732,test,9,200.0,14.284048314436973,19.402155806994088,19.539465,-0.13730919300591182
7545,test,38,290.0,74.60534420909127,0.9753638024749354,0.8570316,0.11833220247493537
17850,test,92,210.0,11.168201223938755,17.68795781284392,17.81255,-0.12459218715608245
13549,test,70,200.0,2.6801335776065,22.52488980074117,22.664392,-0.13950219925882834
5233,test,27,205.0,3.416992332282615,21.13651865736729,21.248085,-0.11156634263270959
10465,test,54,205.0,3.367187754088529,21.13757811794289,21.268362,-0.13078388205710922
17839,test,92,205.0,8.854574659919152,19.13360793947899,19.266792,-0.1331840605210104
6001,test,31,200.0,3.376038831013109,22.26223039715835,22.37836,-0.11612960284164942
1733,val,9,200.0,17.170585317811444,19.051891459946976,19.16901,-0.11711854005302413
15340,val,79,215.0,110.06194241609832,14.422657100587806,14.726359,-0.3037018994121947
15321,val,79,205.0,113.01790132019094,16.61945394675862,16.894794,-0.2753400532413792
7567,val,39,205.0,3.381012957540684,21.144133520565592,21.260057,-0.11592347943440728
8143,val,42,200.0,109.71777609281102,17.72715633525361,18.025154,-0.29799766474639
16887,val,87,210.0,13.36309774615869,16.374183014784226,16.48782,-0.11363698521577348
18596,val,96,200.0,2.708706411178406,22.515263102854487,22.62719,-0.11192689714551207
8359,val,43,210.0,16.485653310598614,16.94134210546884,17.053503,-0.11216089453115785
15339,val,79,215.0,98.44585434740011,14.750707311759887,14.895238,-0.1445306882401134
779,val,4,200.0,8.008913849851936,20.503396060173483,20.637623,-0.1342269398265188
2142,val,11,210.0,28.97461365724153,15.541049071823355,15.696801,-0.1557519281766453
18234,val,94,210.0,19.465537694243903,16.605793532794802,16.72332,-0.11752646720519877
11452,val,59,210.0,24.20303997702114,15.57788919543071,15.7065525,-0.1286633045692902
19166,val,99,200.0,2.6802950720210865,22.536974900993343,22.774515,-0.23754009900665807
19003,val,98,210.0,30.513078918792395,15.473737373192234,15.614212,-0.1404746268077659
12796,val,66,200.0,25.19258995102882,17.99277069750514,18.124191,-0.1314203024948597
2132,val,11,205.0,29.744801939430857,16.376088413556314,16.506857,-0.13076858644368627
11622,val,60,205.0,3.427134163001539,21.144691295853427,21.270473,-0.12578170414657208
4643,val,24,200.0,82.71995209545466,18.81272553897088,18.69997,0.11275553897088031
8172,val,42,215.0,96.429534593722,14.765001350863402,14.898456,-0.13345464913659733
15485,val,79,290.0,84.9372763331908,0.856267055550629,0.7285961,0.12767095555062902
7200,val,37,210.0,24.868964161477063,15.8829133448905,16.022472,-0.13955865510950005
16485,val,85,200.0,4.158729671557765,21.58502998672332,21.707369,-0.12233901327667951
9686,val,50,200.0,81.98823188520579,19.29329436527001,19.062895,0.23039936527001004
14746,val,76,210.0,22.86120415380329,15.823236110358753,15.940151,-0.1169148896412473
19004,val,98,210.0,34.240371886385944,15.10864552373873,15.223606,-0.11496047626127037
19167,val,99,200.0,12.305475817320795,22.10786333517576,22.2197,-0.1118366648242386
16094,val,83,200.0,52.33212360751755,19.15806717422409,19.288092,-0.13002482577590868
15330,val,79,210.0,105.16183230301736,15.699658371483562,15.917054,-0.21739562851643868
15117,val,78,205.0,3.408332043941084,21.06459922617788,21.21282,-0.1482207738221213
3882,val,20,205.0,11.283931868453474,17.478356894393094,17.650938,-0.17258110560690554
9297,val,48,200.0,24.674752449581817,18.3488895874086,18.47227,-0.12338041259140198
7362,val,38,200.0,2.7092026824146096,22.528739999416068,22.672392,-0.14365200058393057
14736,val,76,205.0,23.095976353858337,16.700284840601885,16.812397,-0.11211215939811581
1548,val,8,205.0,3.463881808273171,21.12599674639281,21.254538,-0.12854125360718882
4067,val,21,205.0,129.45641577579488,16.671502233543606,16.84104,-0.1695377664563935
7188,val,37,205.0,19.15953296867488,17.738053455526547,17.851114,-0.11306054447345204
5833,val,30,215.0,5.5733184009121945,18.323124808277537,18.211748,0.11137680827753726
