feature,importance_mean,importance_std
temperature,0.724276781882215,0.011456188305550567
pressure,0.15368459573993015,0.0031790194172533538
z_hydrogen,-0.0062368895435568495,0.0017103426163768097
z_carbon dioxide,-0.05261289606057031,0.002193506498889994
z_hydrogen sulfide,-0.05992086383049925,0.0017059750451028754
z_methane,-0.06017890484106157,0.0011149572870781724
z_nitrogen,-0.0687378734267798,0.0005276349792350607
z_carbon monoxide,-0.0700378887371257,0.0005729782881212749
z_argon,-0.07064259930409625,0.0006704293960035364
z_oxygen,-0.07452864435151171,0.00034573701356108345
