trial_id,loss,FINGERPRINT_FEATURE,MIN_UNIQUE_FOR_NUMERICAL_FEATURES,OUTLIER_REMOVAL_STD,POLYNOMIAL_FEATURES,PREPROCESS_TRANSFORMS,REGRESSION_Y_PREPROCESS_TRANSFORMS,average_before_softmax,max_depth,model_path,model_type,n_estimators,softmax_temperature
94,0.03752986966493563,1,2,2,0,92,1,0,0,1,0,0,1
56,0.03926226294549393,1,2,1,0,122,1,0,3,1,0,0,1
24,0.04230956694883193,1,2,2,0,122,1,0,3,1,0,0,0
28,0.0453883154517026,1,1,2,0,122,1,0,3,1,0,0,3
26,0.0460303625011449,1,1,2,0,122,1,0,3,1,0,0,0
47,0.04776788689234573,1,2,2,0,140,1,0,1,1,0,0,1
8,0.04886884657832388,1,2,2,0,35,0,0,3,1,0,0,0
46,0.04895174961673226,0,0,0,0,102,2,0,0,3,0,0,0
60,0.051244741296038905,1,2,1,0,103,1,0,0,1,0,0,1
82,0.05146631459800169,1,1,0,0,106,1,0,2,1,0,0,0
33,0.05188242941355584,1,1,2,0,66,1,1,3,1,0,0,3
39,0.054023934977273605,1,1,2,0,14,1,0,3,3,0,0,1
59,0.05457680411781258,1,2,1,0,151,0,1,3,1,0,0,1
21,0.05485792565272521,1,2,2,0,32,1,0,0,1,0,0,0
68,0.05602052098827202,1,3,2,0,122,1,0,3,1,0,0,3
74,0.056237229719081225,1,2,1,0,169,1,0,0,2,0,0,1
69,0.056852118832546254,1,0,2,0,175,1,0,3,1,0,0,4
32,0.056912998307334386,1,1,2,0,23,1,0,1,6,0,0,3
35,0.05724547117023096,1,1,2,0,159,1,0,1,0,0,0,3
27,0.057432974213727644,1,1,2,0,152,1,0,3,4,0,0,0
80,0.05769411742581082,1,2,2,0,0,1,1,0,6,0,0,1
9,0.05807499683780915,1,2,1,0,54,2,0,0,1,0,0,2
20,0.05819084663379309,1,2,2,0,54,0,0,3,1,0,0,0
65,0.058436387885423866,1,1,2,0,122,1,0,3,1,0,0,3
66,0.05958847972384072,1,1,1,0,8,1,0,3,1,0,0,0
38,0.060055668590995565,1,2,0,0,132,1,1,1,1,0,0,4
31,0.06112865473756757,1,1,2,0,165,1,0,3,4,0,0,3
25,0.061641077032301164,1,2,2,0,73,1,0,3,1,0,0,0
78,0.06168212435672541,0,2,1,0,163,1,0,3,1,0,0,0
29,0.06569831040173173,1,1,2,0,122,1,0,3,1,0,0,3
5,0.06733629978410158,1,3,2,0,13,2,0,1,0,0,0,2
34,0.06746950049994054,1,2,2,0,141,1,0,3,1,0,0,4
85,0.06780051465618854,1,1,1,0,10,2,0,3,4,0,0,1
41,0.06800590488283606,1,0,0,0,45,1,1,1,4,0,0,0
73,0.06830367875535732,1,1,2,0,160,1,0,3,0,0,0,3
61,0.06913763880896244,0,2,1,0,80,1,0,3,4,0,0,1
55,0.06981677341377954,1,0,0,0,55,0,1,0,3,0,0,2
23,0.07035913040694888,1,2,2,0,32,1,0,0,1,0,0,0
