,temperature,pressure,z_carbon dioxide,z_hydrogen,z_nitrogen,z_argon,z_methane,z_oxygen,z_carbon monoxide,z_hydrogen sulfide
10535,240.0,13.755086358626508,0.99,0.0,0.0,0.0042142943595979,0.0,0.0,0.0,0.005785705640402
8664,270.0,45.17475399384701,0.97,0.0190963643675511,0.0,0.0036144605811676,0.0007595692083829,0.0004556347188307,0.0060739711240675,0.0
19184,210.0,20.511229945114344,0.98,0.0199312532813553,1.2331681778548162e-07,3.111098311804671e-08,6.821041355683285e-05,1.562011847671515e-07,1.0556256590468488e-07,1.2011353627176136e-07
3795,260.0,30.29249777570924,0.96,0.0,0.0,0.0006921309965303,0.0,0.0272824817088905,0.0120253872945791,0.0
431,225.0,12.90045423869586,0.9700000000000002,0.0133476884036825,0.0,0.0,0.0,0.004826115958439,0.0094420444563928,0.0023841511814855
15622,260.0,58.056457157213885,0.96,0.02,0.01,0.0,0.0,0.01,0.0,0.0
10295,215.0,5.51357068232188,0.9600000000000002,0.0015463321755183,0.0,0.0186927613164081,0.0197609065080735,0.0,0.0,0.0
16874,205.0,9.227266496068594,0.95,0.0,0.0,0.0,0.02,0.0,0.02,0.01
13439,240.0,14.476866518685233,0.95,0.0,0.0013975609656157,0.0254634082330592,0.0198727157653484,0.0,0.0004800215694976,0.002786293466479
19060,240.0,25.3880516810241,0.9599825461289972,0.0028883910951717,0.0365119632322939,0.0,0.0,0.0006150995435372,1.0000000000000002e-06,1.0000000000000002e-06
16848,290.0,60.38611216143688,0.95,0.0,0.01,0.03,0.0,0.0,0.0,0.01
14846,260.0,41.783840022179554,0.96,0.0,0.01,0.03,0.0,0.0,0.0,0.0
1360,205.0,5.557590667694821,0.9900000000000002,0.0018331999229532,0.0023678875806493,0.0,0.0054605197736359,0.0,0.0003383927227614,0.0
8890,280.0,58.86174291292548,0.96,0.0,0.0041702958087317,0.0,0.0,0.0358297041912682,0.0,0.0
3602,255.0,30.270031825695337,0.9800000000000002,0.0,0.0061323827249345,0.0017470596003061,0.0,0.0,0.0109577835988784,0.0011627740758808
13265,245.0,19.435941002788013,0.9900000000000004,0.0003378989255281,0.0073037629178862,0.0,0.0,0.0,0.0009878960891263,0.0013704420674592
1575,215.0,13.613026606392154,0.97,0.0,0.0,0.0126851236084495,0.0,0.0109770524424983,0.0063378239490521,0.0
10154,235.0,16.25017926902674,0.9800000000000004,0.0,0.0,0.0,0.0098069707131763,0.0072066354129923,0.0,0.0029863938738312
106,250.0,27.17510185422806,0.97,0.0,0.0,0.0,0.0,0.0253278377187791,0.0046721622812208,0.0
12814,210.0,17.700584959557776,0.9500000000000004,0.0035598544708459,0.0,0.0324731941294169,0.0,0.010108170389748,0.0038587810099889,0.0
4296,225.0,8.034980206080599,0.99,0.0029715201844185,0.0,0.0,0.0045889927616255,0.0024394870539559,0.0,0.0
13270,250.0,19.684348764215315,0.9900000000000004,0.0003378989255281,0.0073037629178862,0.0,0.0,0.0,0.0009878960891263,0.0013704420674592
5444,210.0,6.0448472064572005,0.9500000000000002,0.0,0.0127793031953464,0.0,0.0019066448341537,0.0,0.0247519768157292,0.0105620751547706
18422,210.0,27.587588805303927,0.9700000000000004,0.0074631004355608,0.0079014319359245,0.003992573610865,0.0099051237458289,3.7883113831758814e-05,0.0006994968989845,3.902590042765682e-07
17230,290.0,67.61745816087725,0.96,0.01,0.0,0.0,0.0,0.0,0.03,0.0
4967,265.0,36.15498492859045,0.9500000000000002,0.0,0.0148235104099754,0.0,0.0271967461301069,0.0016830993788554,0.0,0.0062966440810621
11121,240.0,28.64609105719181,0.95,0.0,0.0,0.0463583946870832,0.0,0.0,7.287680650048926e-05,0.0035687285064162
15107,200.0,2.6681277245003225,0.95,0.0,0.0,0.02,0.0,0.0,0.0,0.03
3655,285.0,52.835086168962704,0.9800000000000002,0.0,0.0061323827249345,0.0017470596003061,0.0,0.0,0.0109577835988784,0.0011627740758808
6493,250.0,19.21189116646248,0.9900000000000004,0.0060262828721686,0.0010191679361811,0.0,0.0,0.0022682256482212,0.0,0.0006863235434289
10595,270.0,34.045139679708974,0.99,0.0,0.0,0.0042142943595979,0.0,0.0,0.0,0.005785705640402
2704,200.0,9.365612447236256,0.9900000000000002,0.0012110902023586,0.000100655683005,0.0,0.0071968246920378,0.0004342903727188,4.017847614251893e-05,0.0010169605737371
8790,230.0,25.575443763166444,0.96,0.0,0.0041702958087317,0.0,0.0,0.0358297041912682,0.0,0.0
17325,235.0,22.19107118426308,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0
4526,240.0,13.868844565326484,0.9900000000000004,0.0,0.0020072529992621,0.0029118001842531,0.0019335194014437,0.0030595831699401,0.0,8.784424510072746e-05
13552,200.0,7.39527770882766,0.98,0.0,0.02,0.0,0.0,0.0,0.0,0.0
14403,235.0,30.209455874899582,0.98,0.01,0.0,0.01,0.0,0.0,0.0,0.0
