trial_id,loss,FINGERPRINT_FEATURE,MIN_UNIQUE_FOR_NUMERICAL_FEATURES,OUTLIER_REMOVAL_STD,POLYNOMIAL_FEATURES,PREPROCESS_TRANSFORMS,REGRESSION_Y_PREPROCESS_TRANSFORMS,average_before_softmax,max_depth,model_path,model_type,n_estimators,softmax_temperature
53,0.004257390533134076,0,2,2,0,163,2,0,1,5,0,0,2
70,0.004283230436754175,0,2,1,0,163,2,0,1,5,0,0,5
68,0.004337165202356518,0,2,0,0,163,2,0,2,5,0,0,3
75,0.0043713153918610755,1,0,1,0,163,2,0,1,5,0,0,5
27,0.004502074608527784,0,2,0,0,102,2,0,2,5,0,0,3
29,0.004530229903218519,0,2,0,0,102,2,0,2,5,0,0,3
66,0.004559048191247136,0,2,0,0,102,2,0,2,5,0,0,3
92,0.004571681907950386,0,1,0,0,104,2,1,1,1,0,0,5
78,0.004600684770344645,0,2,1,0,163,2,0,1,5,0,0,4
61,0.004650632184928171,0,1,2,0,97,2,1,1,3,0,0,4
21,0.004667022869082052,1,3,0,0,126,2,0,2,5,0,0,1
99,0.004671613124881677,1,2,2,0,38,1,0,2,5,0,0,3
79,0.004672933164756329,1,1,1,0,163,2,1,3,4,0,0,2
25,0.004717405353173006,0,2,0,0,129,2,0,2,5,0,0,3
72,0.004735671009290029,0,2,1,0,163,2,0,1,1,0,0,5
20,0.004818815543846929,1,3,0,0,115,2,0,2,5,0,0,1
23,0.004859871058586864,1,3,0,0,126,2,0,2,5,0,0,1
36,0.004951476538593119,0,2,2,0,169,2,0,1,2,0,0,3
12,0.004977743584909465,1,3,0,0,153,2,0,1,5,0,0,1
90,0.004978307652213209,0,2,1,0,99,2,0,1,4,0,0,2
33,0.00498486830549019,0,2,0,0,118,2,0,3,5,0,0,3
95,0.005028383437893386,0,3,0,0,94,2,0,3,2,0,0,0
22,0.005039569380169332,1,3,0,0,15,2,0,2,5,0,0,1
85,0.005040529627176405,0,1,1,0,150,0,0,1,2,1,0,5
28,0.005149558624917633,0,2,0,0,54,2,0,2,5,0,0,4
24,0.005158171026855967,1,3,0,0,159,2,0,2,5,0,0,1
43,0.005160340584539402,0,2,1,0,135,0,0,1,2,1,0,0
93,0.005192830928012004,0,0,1,0,91,1,0,2,0,0,0,2
5,0.005241707705630369,1,3,2,0,20,2,1,0,4,0,0,1
45,0.005246593522990608,0,2,2,0,8,2,0,2,5,0,0,3
73,0.0052826041674732035,0,2,1,0,66,2,0,1,5,0,0,5
56,0.00531369334725882,0,2,2,0,160,2,0,1,1,0,0,2
83,0.005318308622733652,0,2,1,0,144,2,0,3,5,0,0,2
42,0.005324316942790635,0,0,0,0,49,2,0,3,1,0,0,2
65,0.005361677455363465,0,2,0,0,39,2,0,2,5,0,0,3
18,0.005388822287034403,1,1,0,0,63,0,1,0,1,0,0,5
82,0.005412491692740632,0,2,2,0,44,1,0,1,1,0,0,1
19,0.005425840713144533,1,2,1,0,130,1,1,1,1,1,0,0
11,0.005438531000983514,1,3,2,0,153,1,0,0,6,0,0,5
69,0.0054811599304643846,0,2,0,0,119,2,0,2,5,0,0,3
55,0.005504337624853478,0,1,2,0,179,1,0,1,5,0,0,2
71,0.00555431316064634,0,2,1,0,35,2,0,1,5,0,0,5
4,0.005633444920283481,1,0,1,0,40,0,1,0,1,1,0,2
60,0.005751711061194438,0,2,2,0,73,1,0,0,5,0,0,5
57,0.005790559152606224,1,0,2,0,72,2,1,1,5,0,0,2
54,0.005848993489916495,0,2,2,0,132,2,1,1,6,1,0,2
98,0.005872634893717424,0,1,1,0,3,2,0,1,4,1,0,1
87,0.005888963034556132,0,0,1,0,75,2,0,1,5,0,0,0
8,0.005890724428418793,1,0,2,0,154,0,1,3,2,1,0,2
80,0.005894947452529127,0,3,2,0,12,0,0,0,5,1,0,5
97,0.005900900494677715,0,2,0,0,56,2,1,2,5,0,0,5
40,0.005904241327262377,0,1,0,0,103,0,0,1,3,1,0,4
26,0.005919516525958367,0,2,0,0,129,2,0,2,3,0,0,3
88,0.005955001791765872,0,3,2,0,53,1,1,3,3,0,0,5
59,0.005956094879981846,1,2,2,0,148,2,0,1,0,0,0,2
44,0.005973699566046466,0,1,0,0,138,2,1,2,6,0,0,3
81,0.00602543494698549,0,0,1,0,113,2,0,1,6,0,0,0
63,0.00605462942487078,0,2,2,0,62,2,0,0,5,0,0,2
52,0.006058056416789644,0,0,0,0,60,1,0,2,3,0,0,0
91,0.006069090193076386,0,2,2,0,146,0,0,2,5,0,0,4
48,0.006088528201823782,0,1,0,0,9,2,0,1,4,1,0,4
50,0.006129093287540637,0,2,0,0,147,2,0,0,1,0,0,3
0,0.006147206523963021,0,3,2,0,114,1,1,0,6,1,0,4
74,0.0061664542742711145,0,3,1,0,178,2,0,1,0,0,0,5
3,0.006183884279566206,1,1,2,0,10,1,1,0,2,0,0,0
30,0.006196932505560904,0,2,0,0,111,2,0,2,3,0,0,3
41,0.0062326790618713445,0,2,2,0,34,2,0,2,5,0,0,3
49,0.006263658028684865,0,2,2,0,92,1,1,2,2,0,0,0
62,0.006277519521279689,1,3,1,0,14,2,0,1,4,1,0,1
86,0.0062787296813247165,0,2,2,0,58,2,0,1,5,0,0,2
67,0.006288133455090027,0,2,0,0,83,2,0,2,5,0,0,3
89,0.006304698276764196,1,2,0,0,45,2,0,0,6,1,0,1
94,0.006314553474122913,1,2,2,0,165,2,0,1,5,1,0,3
37,0.006466096066108312,0,2,0,0,171,2,0,3,6,0,0,3
64,0.0064811527581805336,0,2,2,0,143,0,0,3,6,0,0,0
14,0.00649493836257486,0,3,1,0,128,1,0,0,0,0,0,0
76,0.006525341338832136,0,2,1,0,131,1,0,1,2,0,0,1
58,0.006540118554899841,0,3,2,0,175,0,0,1,2,1,0,2
96,0.006546581226415513,0,2,2,0,65,0,0,0,3,0,0,2
84,0.0065489428244248,1,2,2,0,48,2,1,0,0,0,0,4
16,0.006633741369439156,1,3,1,0,105,1,1,0,0,1,0,5
10,0.006658227842014161,0,2,0,0,68,1,1,2,4,1,0,1
34,0.006675315971033197,0,2,0,0,70,2,0,2,5,0,0,3
77,0.0066781388205693895,0,2,1,0,26,2,0,1,3,0,0,5
17,0.006686605294779637,1,0,1,0,27,1,1,3,4,1,0,5
31,0.0067200327627128095,0,2,0,0,102,2,0,2,0,0,0,3
51,0.006763493600940069,0,1,1,0,78,0,1,3,4,1,0,5
2,0.006809663967908889,1,3,2,0,105,1,1,1,2,1,0,3
13,0.00690056686713822,1,3,1,0,0,2,0,3,3,1,0,0
46,0.006907856072372499,0,0,0,0,61,1,1,3,5,1,0,5
35,0.00708661298315857,0,0,0,0,102,0,0,2,5,0,0,4
39,0.007130416387686833,0,2,1,0,76,2,0,2,4,0,0,3
6,0.007227425179251911,1,1,2,0,88,0,0,1,4,1,0,1
32,0.007247631165374831,0,2,0,0,74,2,0,2,6,0,0,3
1,0.007656701980306638,0,1,1,0,37,2,0,0,5,1,0,1
15,0.007689286557309201,1,1,2,0,13,1,1,0,2,0,0,2
9,0.007858401958654232,0,2,0,0,16,0,1,0,1,0,0,4
7,0.008031101070273336,1,1,0,0,59,1,0,1,6,1,0,3
38,0.008552338941231146,0,0,2,0,162,0,0,2,0,0,0,2
47,0.008753053632557307,0,2,1,0,167,0,0,0,0,0,0,2
