trial_id,loss,FINGERPRINT_FEATURE,MIN_UNIQUE_FOR_NUMERICAL_FEATURES,OUTLIER_REMOVAL_STD,POLYNOMIAL_FEATURES,PREPROCESS_TRANSFORMS,REGRESSION_Y_PREPROCESS_TRANSFORMS,average_before_softmax,max_depth,model_path,model_type,n_estimators,softmax_temperature
25,0.06364003269340933,0,1,1,0,52,1,1,3,4,1,0,0
42,0.07093105559857071,1,3,2,0,16,1,0,3,6,1,0,1
22,0.07211435907888156,0,1,1,0,52,1,1,3,6,1,0,0
69,0.07865306795274843,0,1,1,0,139,1,1,3,6,1,0,0
51,0.0791436050035599,1,2,0,0,91,0,0,3,1,1,0,2
64,0.07945564604073771,1,2,1,0,1,1,1,3,6,1,0,5
30,0.0797463988548878,0,1,1,0,52,1,1,3,1,1,0,3
65,0.08015550135958702,0,1,1,0,52,1,1,3,6,1,0,0
26,0.08503641784693189,0,1,1,0,136,1,1,3,4,1,0,0
66,0.0850904881780606,0,1,1,0,39,1,1,3,6,1,0,0
58,0.09089478509672555,1,3,1,0,2,2,0,3,2,1,0,5
60,0.0968755009830154,0,3,1,0,19,1,0,3,6,1,0,1
23,0.09720628722351153,0,1,1,0,29,1,1,3,6,1,0,0
96,0.09740205361897485,0,0,1,0,47,1,1,3,5,1,0,2
48,0.09751726843276445,1,3,2,0,79,0,0,3,4,1,0,2
62,0.09787473928371558,0,3,1,0,40,1,0,3,4,1,0,2
80,0.09821550702215541,1,3,2,0,144,1,0,3,4,1,0,2
71,0.09824602190813282,0,1,1,0,41,1,1,3,4,1,0,0
17,0.09834071996345199,0,0,1,0,167,1,1,3,6,1,0,2
28,0.09836671145242366,0,1,1,0,169,1,1,3,4,1,0,3
89,0.09894403977476231,0,3,1,0,0,1,1,3,4,1,0,3
21,0.10039888403587757,0,1,1,0,60,1,1,3,6,1,0,0
33,0.10323888080059664,0,1,1,0,55,1,1,3,6,1,0,0
32,0.11645214981988505,0,2,1,0,10,1,1,3,3,1,0,4
39,0.12444741667122317,0,2,1,0,94,1,1,3,3,1,0,1
67,0.12538276253509903,0,1,1,0,63,1,1,3,6,1,0,0
97,0.1255314305973944,1,1,1,0,15,1,0,3,1,1,0,5
93,0.12577467121686556,1,2,0,0,18,0,1,3,2,1,0,1
75,0.12594782420798242,0,1,1,0,21,1,1,3,6,1,0,0
68,0.1294769271342136,0,1,1,0,14,1,1,3,6,1,0,0
84,0.13001828786612482,1,1,1,0,64,1,0,3,2,1,0,0
35,0.1301002110360782,0,1,1,0,151,1,1,3,0,1,0,0
73,0.13039096582125878,0,1,1,0,178,1,1,3,0,1,0,0
94,0.13371937648666074,0,1,1,0,66,1,0,2,6,1,0,4
57,0.13491488104741675,1,0,2,0,25,1,0,3,0,1,0,2
83,0.1381959989722198,0,1,0,0,96,1,1,3,6,1,0,0
24,0.1385842716374284,0,1,1,0,29,1,1,3,6,1,0,0
2,0.1386454587607824,0,1,0,0,60,0,1,2,2,1,0,0
99,0.13999552903287957,1,1,0,0,6,0,0,3,4,1,0,3
18,0.14015666058360174,0,0,2,0,53,0,1,3,2,1,0,4
92,0.1433205273002456,0,3,2,0,145,1,0,3,0,1,0,0
20,0.14440006532189678,0,1,1,0,140,1,1,3,6,1,0,0
55,0.14477404672246694,1,2,2,0,92,1,0,3,3,1,0,4
74,0.14663562984301434,0,1,1,0,157,1,1,2,2,1,0,1
36,0.15302067105630207,0,2,0,0,56,1,1,3,6,1,0,3
53,0.16999700552726363,1,3,2,0,16,2,0,2,6,1,0,3
87,0.18041840530701894,0,2,2,0,162,0,1,2,6,1,0,0
3,0.1804492828081449,1,0,0,0,149,2,0,2,6,1,0,2
11,0.18053618946549602,1,0,1,0,119,2,1,2,5,1,0,4
14,0.1806803790649673,0,2,2,0,7,0,0,2,4,1,0,2
27,0.18097523804951446,0,1,1,0,138,1,1,3,4,1,0,0
45,0.1812154159369293,1,3,2,0,128,0,0,2,2,1,0,1
72,0.20978382821850178,0,1,1,0,76,1,1,3,3,1,0,3
79,0.2124833135563242,0,2,1,0,78,2,1,3,6,1,0,3
70,0.2129901299572164,0,1,1,0,109,1,1,3,6,1,0,0
31,0.21329200063769727,0,1,1,0,165,1,1,3,4,1,0,0
59,0.2140452474708614,0,2,2,0,123,1,0,2,4,1,0,3
47,0.24516669270743918,1,3,2,0,135,1,0,1,0,1,0,1
76,0.24593346467146485,0,0,0,0,159,1,1,1,4,1,0,1
34,0.24610573515913184,1,1,2,0,124,1,1,1,4,1,0,5
29,0.24631709137842514,0,1,2,0,52,1,1,1,4,1,0,0
88,0.24638189255956497,1,1,0,0,133,1,0,1,1,1,0,2
7,0.2464379816489361,0,0,0,0,121,1,1,1,5,1,0,1
54,0.26465247898787025,1,0,0,0,24,1,0,1,4,1,0,1
82,0.26503676458556424,1,3,2,0,85,0,0,1,0,1,0,1
40,0.2652780341806355,1,1,1,0,58,2,1,1,0,1,0,0
37,0.2673762684451607,1,1,2,0,142,1,1,1,5,1,0,0
10,0.2684577708897604,0,3,1,0,65,2,1,1,3,1,0,1
78,0.316665260702752,0,1,1,0,129,1,1,0,1,1,0,4
43,0.3166653051539975,1,3,2,0,16,2,0,0,1,1,0,1
