trial_id,loss,FINGERPRINT_FEATURE,MIN_UNIQUE_FOR_NUMERICAL_FEATURES,OUTLIER_REMOVAL_STD,POLYNOMIAL_FEATURES,PREPROCESS_TRANSFORMS,REGRESSION_Y_PREPROCESS_TRANSFORMS,average_before_softmax,max_depth,model_path,model_type,n_estimators,softmax_temperature
51,0.054127763667243846,0,0,1,0,115,0,1,3,5,1,0,0
63,0.056411822620226676,0,0,1,0,64,0,1,3,3,1,0,0
31,0.05691420659575977,0,2,0,0,148,0,1,3,0,1,0,3
84,0.05692074685135165,0,2,1,0,29,0,1,3,2,1,0,3
22,0.056929922418923695,0,0,0,0,22,0,1,3,4,1,0,2
25,0.057675991705620266,0,2,0,0,11,0,1,3,4,1,0,3
10,0.05768003267773317,0,2,0,0,68,1,1,2,4,1,0,1
57,0.05870893527932816,1,0,1,0,17,0,1,3,0,1,0,0
41,0.05954757364522292,0,2,2,0,71,2,1,3,3,1,0,3
24,0.05957221083175892,0,0,0,0,168,0,1,2,4,1,0,1
69,0.059606111008923886,0,0,1,0,147,0,1,3,3,1,0,0
99,0.05960728033206569,0,2,0,0,38,1,1,2,5,1,0,5
35,0.05960806047352806,0,2,0,0,21,0,1,3,0,1,0,3
29,0.059610072213198556,0,0,0,0,112,0,1,3,5,1,0,3
87,0.05962267054482649,1,2,2,0,36,1,1,2,5,1,0,4
38,0.059642194632311143,0,2,2,0,116,0,1,3,0,1,0,4
97,0.059924631822926774,0,1,1,0,78,0,1,3,0,1,0,0
28,0.05996543561259858,0,2,0,0,56,0,1,3,4,1,0,4
56,0.06006108471186828,0,2,1,0,30,1,0,3,5,1,0,0
8,0.060061412726448805,1,0,2,0,154,0,1,3,2,1,0,2
62,0.06006690043286996,0,1,1,0,43,0,1,3,0,1,0,3
76,0.060299243029425666,0,3,2,0,104,0,1,3,3,1,0,0
33,0.06029998191246581,0,0,0,0,148,2,1,3,0,1,0,3
30,0.06030345057328559,0,0,0,0,124,2,1,3,3,1,0,2
89,0.06030708179256304,0,3,1,0,85,0,1,3,5,1,0,3
93,0.061443302505316044,0,0,2,0,103,1,1,2,1,1,0,3
36,0.061448119312064925,0,1,2,0,66,0,0,3,6,1,0,2
80,0.061599912899343134,0,0,0,0,12,0,1,2,5,1,0,4
66,0.06168000523388856,0,0,1,0,72,0,1,3,3,1,0,0
75,0.0616816321380027,0,2,1,0,169,1,1,3,0,1,0,3
71,0.06168508908223094,0,0,1,0,115,0,1,3,5,1,0,3
45,0.061741698471995524,0,2,2,0,45,0,0,3,6,1,0,3
21,0.06188789777190184,0,0,0,0,154,0,1,2,2,1,0,2
82,0.06215110118568866,1,0,1,0,47,1,0,3,6,1,0,5
13,0.06215179736307104,1,3,1,0,0,2,0,3,3,1,0,0
85,0.06215205467652542,0,1,0,0,132,0,1,3,4,1,0,0
92,0.06215251797426211,0,2,1,0,125,2,1,3,0,1,0,2
65,0.06215283025852055,0,0,1,0,5,0,1,3,3,1,0,0
17,0.06215288977515857,1,0,1,0,27,1,1,3,4,1,0,5
39,0.062162304967101026,0,0,1,0,65,0,1,3,6,1,0,2
67,0.06216286542226431,0,0,1,0,64,0,1,3,3,1,0,0
68,0.06238129956233905,0,0,1,0,158,0,1,3,3,1,0,0
79,0.06238182791131437,0,2,0,0,166,0,1,3,3,1,0,0
73,0.06238253749816984,0,0,1,0,54,0,1,3,1,1,0,4
27,0.06238270562837787,0,0,0,0,11,0,1,3,4,1,0,3
72,0.062389705092470146,0,2,2,0,58,0,1,3,6,1,0,0
70,0.062444188185804654,0,0,1,0,173,0,1,3,0,1,0,1
98,0.06252021354101324,0,0,1,0,51,2,1,3,3,1,0,3
32,0.06379286735425166,0,2,0,0,102,0,0,3,0,1,0,4
26,0.06401954254305223,0,2,0,0,139,0,1,3,4,1,0,3
78,0.06408731682748116,1,1,1,0,41,0,1,3,0,1,0,1
34,0.06422969041617688,0,0,0,0,89,0,1,3,0,1,0,2
58,0.0642421131738538,0,2,1,0,60,0,1,2,6,1,0,1
91,0.06436368751356979,1,0,1,0,64,0,0,3,2,1,0,0
54,0.06478507507490648,1,3,1,0,149,2,1,2,5,1,0,0
42,0.06495271915013233,0,0,0,0,98,0,0,2,1,1,0,2
23,0.06635270724152699,0,2,0,0,22,0,1,2,4,1,0,1
64,0.06637523952972808,0,0,1,0,162,0,1,2,3,1,0,0
20,0.06638027096415416,0,2,0,0,121,0,1,2,3,1,0,2
49,0.06689621858006196,0,1,2,0,131,1,1,2,1,1,0,5
61,0.07545042068598772,1,2,2,0,8,2,0,1,5,1,0,4
96,0.075450625925582,1,3,0,0,140,0,1,1,5,1,0,4
44,0.07545190082069392,0,1,0,0,152,2,1,1,2,1,0,5
2,0.07545368381652999,1,3,2,0,105,1,1,1,2,1,0,3
7,0.07545776708411461,1,1,0,0,59,1,0,1,6,1,0,3
6,0.0754613139582773,1,1,2,0,88,0,0,1,4,1,0,1
53,0.07556865784446291,0,0,1,0,176,0,1,1,5,1,0,0
19,0.07567223454747897,1,2,1,0,130,1,1,1,1,1,0,0
83,0.07567972229856766,0,3,0,0,97,0,1,1,0,1,0,0
16,0.12372755333903197,1,3,1,0,105,1,1,0,0,1,0,5
59,0.12372755333903197,0,3,1,0,111,1,1,0,2,1,0,3
50,0.12372755333903197,1,3,0,0,22,0,1,0,3,1,0,2
47,0.12431495540644802,0,0,1,0,159,0,1,0,4,1,0,2
4,0.12431495540644802,1,0,1,0,40,0,1,0,1,1,0,2
0,0.12431495540644802,0,3,2,0,114,1,1,0,6,1,0,4
1,0.12431495540644802,0,1,1,0,37,2,0,0,5,1,0,1
94,0.12431495540644802,0,2,0,0,167,0,1,0,4,1,0,1
74,0.12431495540644802,0,0,1,0,155,0,1,0,2,1,0,5
88,0.12431495540644802,0,0,0,0,53,0,1,0,0,1,0,0
18,inf,1,1,0,0,63,0,1,0,1,0,0,5
60,inf,0,0,1,0,177,0,1,3,1,0,0,5
48,inf,1,2,0,0,26,2,0,1,2,0,0,1
52,inf,1,2,1,0,115,1,0,3,5,0,0,0
55,inf,0,1,1,0,32,0,1,0,5,0,0,0
37,inf,0,0,0,0,148,2,1,1,5,0,0,3
40,inf,0,1,0,0,175,0,0,1,0,0,0,0
43,inf,0,3,1,0,151,0,1,3,5,0,0,4
46,inf,0,3,0,0,101,1,1,3,0,0,0,0
15,inf,1,1,2,0,13,1,1,0,2,0,0,2
14,inf,0,3,1,0,128,1,0,0,0,0,0,0
12,inf,1,3,0,0,153,2,0,1,5,0,0,1
11,inf,1,3,2,0,153,1,0,0,6,0,0,5
9,inf,0,2,0,0,16,0,1,0,1,0,0,4
5,inf,1,3,2,0,20,2,1,0,4,0,0,1
3,inf,1,1,2,0,10,1,1,0,2,0,0,0
77,inf,0,0,0,0,70,2,0,1,5,0,0,3
95,inf,0,0,1,0,94,0,0,3,3,0,0,0
90,inf,0,1,0,0,142,0,1,1,6,0,0,5
81,inf,0,2,2,0,35,2,1,0,1,0,0,3
86,inf,0,0,1,0,106,2,0,3,3,0,0,1
