feature,importance_mean,importance_std
temperature,0.6530072127390489,0.009340267470431861
pressure,0.46853191361245194,0.013205219873983282
z_hydrogen,0.051686731174065935,0.002584888439508478
z_carbon dioxide,0.007029341908590389,0.0021516749893549687
z_methane,-0.0024721970798795645,0.0015807338017243058
z_hydrogen sulfide,-0.0029075865096754193,0.0019056044602587408
z_nitrogen,-0.01523781649977669,0.0003851632293590209
z_carbon monoxide,-0.01596750090492728,0.0007502711665848429
z_argon,-0.016490979321755878,0.000729810847041786
z_oxygen,-0.0190760529445424,0.0005090246677394832
