trial_id,loss,FINGERPRINT_FEATURE,MIN_UNIQUE_FOR_NUMERICAL_FEATURES,OUTLIER_REMOVAL_STD,POLYNOMIAL_FEATURES,PREPROCESS_TRANSFORMS,REGRESSION_Y_PREPROCESS_TRANSFORMS,average_before_softmax,max_depth,model_path,model_type,n_estimators,softmax_temperature
9,0.00040046302523262447,1,2,1,0,54,2,0,0,1,0,0,2
0,0.0005294731054459264,1,2,0,0,147,0,1,3,0,0,0,3
2,0.0005383797795518154,0,1,0,0,60,0,1,2,2,1,0,0
7,0.0005479523731319652,0,0,0,0,121,1,1,1,5,1,0,1
5,0.00054976304073783,1,3,2,0,13,2,0,1,0,0,0,2
3,0.0005858427790745954,1,0,0,0,149,2,0,2,6,1,0,2
8,0.0006122493874351813,1,2,2,0,35,0,0,3,1,0,0,0
6,0.0006252880784247791,0,3,0,0,111,1,0,2,0,0,0,1
1,0.0006756141884714634,1,0,0,0,84,2,0,3,6,0,0,4
4,0.0007372542586795381,0,3,0,0,131,2,0,0,2,1,0,5
