trial_id,loss,FINGERPRINT_FEATURE,MIN_UNIQUE_FOR_NUMERICAL_FEATURES,OUTLIER_REMOVAL_STD,POLYNOMIAL_FEATURES,PREPROCESS_TRANSFORMS,REGRESSION_Y_PREPROCESS_TRANSFORMS,average_before_softmax,max_depth,model_path,model_type,n_estimators,softmax_temperature
2,0.08412762043838294,1,0,0,0,46,0,0,2,4,1,0,3
4,0.08412762356887521,0,0,2,0,119,2,1,2,4,1,0,2
3,0.11604016546458869,0,2,2,0,123,0,0,1,4,1,0,5
9,0.23538799446298989,0,3,0,0,88,1,0,0,2,1,0,2
0,inf,0,0,0,0,87,2,1,3,0,0,0,5
5,inf,1,2,2,0,72,2,1,2,0,0,0,1
6,inf,1,3,0,0,73,0,0,2,4,0,0,2
1,inf,0,1,0,0,82,2,1,2,2,0,0,4
7,inf,1,3,1,0,0,1,1,2,0,0,0,4
8,inf,1,3,2,0,176,1,1,0,2,0,0,3
