feed_id,feed_source,template_name,mixture_size,active_components,CO2,H2,Ar,N2,CH4,O2,CO,H2S
0,Random (Dirichlet),dirichlet,4,"CO2,Ar,N2,H2S",0.97,0.0,0.005316229668578181,0.003970389686328253,0.0,0.0,0.0,0.02071338064509359
1,Random (Dirichlet),dirichlet,3,"CO2,Ar,O2",0.98,0.0,0.0008735005894623406,0.0,0.0,0.019126499410537675,0.0,0.0
2,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,CH4,O2,CO",0.95,0.0070777187572827315,0.008243590788108919,0.0,0.0016613089431201029,0.02927278225214208,0.0037445992593462107,0.0
3,Random (Dirichlet),dirichlet,5,"CO2,Ar,O2,CO,H2S",0.95,0.0,0.019821983022192437,0.0,0.0,0.004979844796558368,0.00893756863753686,0.016260603543712383
4,Random (Dirichlet),dirichlet,5,"CO2,H2,CH4,CO,H2S",0.95,0.012668107038932846,0.0,0.0,0.009234500535936687,0.0,0.010823845204931465,0.017273547220199043
5,Random (Dirichlet),dirichlet,3,"CO2,Ar,CO",0.98,0.0,0.009617030268960618,0.0,0.0,0.0,0.010382969731039398,0.0
6,Random (Dirichlet),dirichlet,4,"CO2,H2,CO,H2S",0.95,0.03968212932156113,0.0,0.0,0.0,0.0,0.006067481332230205,0.004250389346208711
7,Random (Dirichlet),dirichlet,5,"CO2,N2,O2,CO,H2S",0.99,0.0,0.0,0.0011704994786276288,0.0,0.000926243527768918,0.002659204261377739,0.005244052732225723
8,Random (Dirichlet),dirichlet,5,"CO2,H2,N2,CH4,H2S",0.96,0.0010782514205119496,0.0,0.0059579230371867905,0.005416048654086794,0.0,0.0,0.027547776888214498
9,Random (Dirichlet),dirichlet,4,"CO2,H2,Ar,O2",0.96,0.008119495761156089,0.02394758029860147,0.0,0.0,0.00793292394024248,0.0,0.0
10,Random (Dirichlet),dirichlet,3,"CO2,N2,CO",0.98,0.0,0.0,0.0059652501703860595,0.0,0.0,0.014034749829613958,0.0
11,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,N2,CH4,H2S",0.98,0.0019588278299433387,0.005316653588511496,0.010079600332962426,0.0007602626640061583,0.0,0.0,0.0018846555845765994
12,Random (Dirichlet),dirichlet,4,"CO2,Ar,N2,O2",0.97,0.0,0.012178229220047838,0.0034566893623862865,0.0,0.014365081417565904,0.0,0.0
13,Random (Dirichlet),dirichlet,5,"CO2,H2,N2,CO,H2S",0.98,0.007921751236106611,0.0,0.005053675638122344,0.0,0.0,0.0028091823647944845,0.004215390760976576
14,Random (Dirichlet),dirichlet,5,"CO2,H2,Ar,N2,CO",0.95,0.00030277015095547046,0.006465977784960865,0.00815255272175653,0.0,0.0,0.03507869934232718,0.0
15,Random (Dirichlet),dirichlet,4,"CO2,N2,CH4,O2",0.97,0.0,0.0,0.014615453920167156,0.00551062476614152,0.009873921313691351,0.0,0.0
16,Random (Dirichlet),dirichlet,3,"CO2,CH4,H2S",0.95,0.0,0.0,0.0,0.024454622328879443,0.0,0.0,0.0255453776711206
17,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,O2,CO,H2S",0.97,0.0034706431722501,0.00023749760036366512,0.0,0.0,0.004806033311859781,0.015673732357489565,0.005812093558036916
18,Random (Dirichlet),dirichlet,5,"CO2,Ar,N2,CO,H2S",0.98,0.0,0.006110090434520008,0.005004274077988389,0.0,0.0,0.007990111579394079,0.000895523908097542
19,Random (Dirichlet),dirichlet,5,"CO2,N2,CH4,O2,CO",0.98,0.0,0.0,0.006700715715955333,0.006792561962172212,0.00369823046854067,0.0028084918533318034,0.0
20,Random (Dirichlet),dirichlet,4,"CO2,Ar,CH4,CO",0.95,0.0,0.018411154496636654,0.0,0.018380902949042797,0.0,0.013207942554320593,0.0
21,Random (Dirichlet),dirichlet,4,"CO2,N2,CH4,H2S",0.96,0.0,0.0,0.013305509092439837,0.0013545349403609635,0.0,0.0,0.025339955967199238
22,Random (Dirichlet),dirichlet,2,"CO2,CH4",0.95,0.0,0.0,0.0,0.050000000000000044,0.0,0.0,0.0
