feed_id,feed_source,template_name,mixture_size,active_components,CO2,H2,Ar,N2,CH4,O2,CO,H2S,pool_idx,temperature,P_bubble
152,Random (Dirichlet),dirichlet,2,"CO2,H2",0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,152,300.0,
40,Random (Dirichlet),dirichlet,4,"CO2,H2,N2,O2",0.99,0.0078627853371131,0.0,0.0016207612250229,0.0,0.0005164534378638,0.0,0.0,40,260.0,46.42071497269884
168,Random (Dirichlet),dirichlet,2,"CO2,H2",0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,168,220.0,288.670397962824
511,Random (Dirichlet),dirichlet,2,"CO2,H2S",0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.05,511,220.0,6.3476123779204485
168,Random (Dirichlet),dirichlet,2,"CO2,H2",0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,168,300.0,
511,Random (Dirichlet),dirichlet,2,"CO2,H2S",0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.05,511,280.0,42.64403856613815
713,Systematic,systematic_grid,4,"CO2,H2,Ar,N2",0.95,0.0,0.0,0.05,0.0,0.0,0.0,0.0,713,220.0,50.0278662459933
168,Random (Dirichlet),dirichlet,2,"CO2,H2",0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,168,260.0,156.28900053476156
22,Random (Dirichlet),dirichlet,2,"CO2,CH4",0.95,0.0,0.0,0.0,0.05,0.0,0.0,0.0,22,280.0,56.06879229697399
835,Systematic,systematic_grid,3,"CO2,Ar,CO",0.95,0.0,0.0,0.0,0.0,0.0,0.05,0.0,835,240.0,51.04843700720571
511,Random (Dirichlet),dirichlet,2,"CO2,H2S",0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.05,511,300.0,
938,industrial_range,post_combustion_unspecified_48,8,"CO2,H2,Ar,N2,CH4,O2,CO,H2S",0.9995589201162975,1e-06,1e-06,0.0003670500789078,1.8574475587429476e-05,5.057553866971429e-05,1.879790537331545e-06,1e-06,938,220.0,6.851321388467253
713,Systematic,systematic_grid,4,"CO2,H2,Ar,N2",0.95,0.0,0.0,0.05,0.0,0.0,0.0,0.0,713,300.0,
267,Random (Dirichlet),dirichlet,3,"CO2,H2,H2S",0.95,0.0273659156250218,0.0,0.0,0.0,0.0,0.0,0.0226340843749782,267,240.0,114.05639290911131
44,Random (Dirichlet),dirichlet,2,"CO2,Ar",0.95,0.0,0.05,0.0,0.0,0.0,0.0,0.0,44,280.0,64.29091854633003
710,Systematic,systematic_grid,4,"CO2,O2,CO,H2S",0.95,0.0,0.0,0.0,0.0,0.05,0.0,0.0,710,240.0,34.269141817641184
810,Systematic,systematic_grid,4,"CO2,H2,CO,H2S",0.95,0.03,0.0,0.0,0.0,0.0,0.02,0.0,810,280.0,101.61574330952988
22,Random (Dirichlet),dirichlet,2,"CO2,CH4",0.95,0.0,0.0,0.0,0.05,0.0,0.0,0.0,22,220.0,15.709107184213027
835,Systematic,systematic_grid,3,"CO2,Ar,CO",0.95,0.0,0.0,0.0,0.0,0.0,0.05,0.0,835,300.0,
511,Random (Dirichlet),dirichlet,2,"CO2,H2S",0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.05,511,240.0,13.344843082251325
