feed_id,feed_source,template_name,mixture_size,active_components,CO2,H2,Ar,N2,CH4,O2,CO,H2S,pool_idx,P_bubble
92,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,CH4,O2,H2S",0.97,0.0096865461564012,0.0083054174700521,0.0,0.0046316545130756,0.0028088156972879,0.0,0.0045675661631829,92,59.368925590654314
676,Random (Dirichlet),dirichlet,5,"CO2,H2,CH4,O2,CO",0.96,0.0085849383741633,0.0,0.0,0.0151983033155916,0.0107424488490423,0.0054743094612027,0.0,676,58.53026600782149
168,Random (Dirichlet),dirichlet,2,"CO2,H2",0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,168,288.670397962824
511,Random (Dirichlet),dirichlet,2,"CO2,H2S",0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.05,511,6.3476123779204485
713,Systematic,systematic_grid,4,"CO2,H2,Ar,N2",0.95,0.0,0.0,0.05,0.0,0.0,0.0,0.0,713,50.0278662459933
938,industrial_range,post_combustion_unspecified_48,8,"CO2,H2,Ar,N2,CH4,O2,CO,H2S",0.9995589201162975,1e-06,1e-06,0.0003670500789078,1.8574475587429476e-05,5.057553866971429e-05,1.879790537331545e-06,1e-06,938,6.851321388467253
835,Systematic,systematic_grid,3,"CO2,Ar,CO",0.95,0.0,0.0,0.0,0.0,0.0,0.05,0.0,835,47.43170148659997
710,Systematic,systematic_grid,4,"CO2,O2,CO,H2S",0.95,0.0,0.0,0.0,0.0,0.05,0.0,0.0,710,26.026547622713522
267,Random (Dirichlet),dirichlet,3,"CO2,H2,H2S",0.95,0.0273659156250218,0.0,0.0,0.0,0.0,0.0,0.0226340843749782,267,149.731658512398
44,Random (Dirichlet),dirichlet,2,"CO2,Ar",0.95,0.0,0.05,0.0,0.0,0.0,0.0,0.0,44,28.18975600527279
420,Random (Dirichlet),dirichlet,4,"CO2,H2,Ar,CO",0.95,0.0323596730463299,0.0066932794859549,0.0,0.0,0.0,0.0109470474677151,0.0,420,188.30515586421913
248,Random (Dirichlet),dirichlet,3,"CO2,CH4,H2S",0.95,0.0,0.0,0.0,0.038416714759196,0.0,0.0,0.0115832852408039,248,13.573200499008895
602,Random (Dirichlet),dirichlet,2,"CO2,H2",0.97,0.03,0.0,0.0,0.0,0.0,0.0,0.0,602,165.77241618283816
828,Systematic,systematic_grid,4,"CO2,H2,N2,CO",0.95,0.02,0.0,0.03,0.0,0.0,0.0,0.0,828,133.76888761653214
743,Systematic,systematic_grid,4,"CO2,H2,CH4,H2S",0.95,0.03,0.0,0.0,0.02,0.0,0.0,0.0,743,161.90750553879067
785,Systematic,systematic_grid,4,"CO2,H2,O2,H2S",0.95,0.04,0.0,0.0,0.0,0.0,0.0,0.01,785,224.60689692503013
364,Random (Dirichlet),dirichlet,4,"CO2,H2,CO,H2S",0.95,0.0085046695194506,0.0,0.0,0.0,0.0,0.0062016348189866,0.0352936956615627,364,53.26820979664706
771,Systematic,systematic_grid,4,"CO2,Ar,N2,H2S",0.95,0.0,0.0,0.02,0.0,0.0,0.0,0.03,771,23.309964960948825
829,Systematic,systematic_grid,4,"CO2,H2,Ar,O2",0.95,0.02,0.0,0.0,0.0,0.03,0.0,0.0,829,117.35666963947408
745,Systematic,systematic_grid,3,"CO2,Ar,H2S",0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.03,745,6.412468158660233
22,Random (Dirichlet),dirichlet,2,"CO2,CH4",0.95,0.0,0.0,0.0,0.05,0.0,0.0,0.0,22,15.709107184213027
60,Random (Dirichlet),dirichlet,4,"CO2,H2,CH4,CO",0.95,0.0236216660157326,0.0,0.0,0.0033982591601177,0.0,0.0229800748241495,0.0,60,145.88662109995224
135,Random (Dirichlet),dirichlet,2,"CO2,H2",0.96,0.04,0.0,0.0,0.0,0.0,0.0,0.0,135,225.31716451575107
288,Random (Dirichlet),dirichlet,3,"CO2,O2,H2S",0.95,0.0,0.0,0.0,0.0,0.0232170328574641,0.0,0.0267829671425358,288,15.404456483536437
854,Systematic,systematic_grid,4,"CO2,H2,Ar,N2",0.95,0.01,0.04,0.0,0.0,0.0,0.0,0.0,854,71.4391013217926
