Complexity,Loss,Equation
1,823.59119390654,"82.8329770048301"
3,712.211733322857,"Pc + -10.714530813795824"
4,359.01763729639055,"invsquare(0.1362014088184777 - z_hydrogen)"
5,345.7004779953096,"(Tc * 58.09692244771898) + -17697.575663673"
7,210.38784050815752,"((Tc * 15115.973205274498) + -4.605931229556157e6) / temperature"
9,207.23750522357392,"(-4.48985073470176e6 + (Tc * 14731.697888140354)) / (-17.95481858636569 + temperature)"
10,207.23750250667297,"((Tc * 14731.69249374086) + -4.489850311278389e6) / abs(temperature + -17.969274992652007)"
11,197.87242227250866,"((Tc * 14733.417202111239) + -4.489839256403931e6) * (0.7432688073394613 / (temperature + -69.33032713521334))"
12,155.7744702457823,"square(((Tc * 49.567544621005695) - 15104.77185923457) * (-23.71369751229346 / temperature)) - -39.176441756668524"
13,155.77447023821387,"abs(square(((Tc * 49.567544550993965) - 15104.771860110308) * (-23.713731203462938 / temperature)) - -39.176328075848254)"
14,113.85074130480189,"square((((15104.842290125285 - (Tc * 49.68617752623477)) * -34.46430703379294) / temperature) + -10.818635895275738) + 61.36488348992834"
15,24.321102675817276,"(temperature / 4.559385603909305) + ((62.80352806727296 / (temperature + -182.40792895566264)) * ((Tc * 49.429897130600125) - 15104.341330844603))"
17,24.304399536320684,"((((Tc * 49.42989143706959) - 15104.341541692555) * 62.85200670408247) / (temperature + -182.39703080367954)) + ((temperature / 4.558271679029713) - z_hydrogen)"
18,23.87786694865239,"((66.86983532141161 / (temperature + -182.36046879818633)) * (((Tc + 16.06706554865939) * 46.95972460561997) - 15104.384164429828)) + (temperature / safelog(Pc))"
19,19.36112132279021,"(((72.54409763298074 / (temperature + -179.24218934100435)) * (((Tc + 15.005713491054653) * 47.1455165738527) - 15104.405717966714)) + (temperature / 2.3270313891072334)) - 65.02196631535742"
20,12.598837103052144,"square((5.068653636380181 / (temperature + -146.570561188363)) * (15103.259323317703 - (Tc * 49.95079839982333))) + ((-12468.356503126044 / (temperature + -160.03241680413268)) - -131.9495606432158)"
22,8.672466739581813,"((-12468.00929140335 / (temperature + -161.35889576426695)) - -155.36849091664357) + square(((((Tc * 50.11417668180667) - 15103.259417703426) * 6.774687320794259) / (temperature + -129.06609049866165)) + -5.413764837318782)"
23,8.018117262560034,"((-12468.024587428941 / (temperature + -161.66361469718737)) - -157.79791718620604) + abs(square(((((Tc * 50.10809404200761) - 15103.258344599806) * 6.645547908453652) / (temperature + -131.2471099442311)) + -5.455185714183277))"
24,6.2461748823395835,"((-12468.548761113538 / (temperature + -159.20097157818216)) + square(((9.716227402534296 / (temperature + -107.86338283552932)) * (15104.64064755902 - ((Tc + 16.3696809711566) * 47.64855374487068))) + 11.255825319499683)) - -168.85276928623944"
25,6.246072443996941,"abs((square(((9.718716977350413 / (temperature + -107.85428299813276)) * (15104.640615589182 - ((Tc + 16.42539048700088) * 47.64021242927055))) + 11.256526563761447) - -168.84740989324828) + (-12468.557953443167 / (temperature + -159.19714022912575)))"
26,1.1876007846130514,"(square((((15104.624192367724 - ((Tc + 15.014893445236384) * 48.49265834478895)) * 5.537012475671) / (temperature + -95.73684419531246)) + 10.148815238677093) - (-123.52337381583064 - (-12467.931100587813 / (temperature + -154.8087743689234)))) / 0.49272550305375407"
28,1.1742512127035865,"((square((((15104.623873156705 - ((Tc + 15.429178432402578) * 48.43596118264065)) * 5.597010545445052) / (temperature + -94.53107468262283)) + 10.299301775345345) - (-123.29218488290968 - (-12467.93327537515 / (temperature + -154.49555487476897)))) + z_argon) / 0.48991177369117206"
