Complexity,Loss,Equation
1,344.94953870325537,"23.400674094875622"
3,129.72972238919567,"temperature - 224.52341831444105"
4,74.63841338769211,"abs(227.43946510731135 - temperature)"
5,31.274818518584823,"(temperature * 0.6409244915308246) + -135.49994877083552"
6,1.5019726249327707,"cube((temperature * 0.030110154710211834) + -4.853738289293824)"
8,0.9855267664040009,"cube((temperature * 0.03284804615554152) + -5.695446753641472) + 2.6721629220767813"
9,0.7420338547379612,"invsquare(Tc / cube(cube(safelog(temperature * 0.036877160868937685))))"
10,0.5350637970181891,"-12.861102277898128 + cube(1.3900511555939254 + invsquare(safelog(temperature * 0.0018907666773382034)))"
12,0.5317954458390338,"cube(invsquare(safelog(temperature * 0.00185108061153443)) + (temperature * 0.004970814412969001)) + -6.109282308563857"
14,0.53113065284113,"(cube(invsquare(safelog(temperature * 0.0018506527422215882)) + (temperature * 0.004978985263656416)) + -6.109282113843403) - z_argon"
16,0.41485386224182713,"inv_((Tc - temperature) * 0.028213872956954236) + invsquare(Tc / cube(cube(safelog(temperature * 0.03669159737607058))))"
17,0.3145763519678524,"invsquare((Tc / cube(cube(safelog(temperature * 0.0368508159372688)))) - inv_(cube(Tc + (2.2320583903429174 - temperature))))"
18,0.31457635171770915,"abs(invsquare((Tc / cube(cube(safelog(temperature * 0.03685082080760596)))) - cube(inv_(Tc + (2.2320585452883845 - temperature)))))"
19,0.14225299341186334,"invsquare(((Tc - -89.61985354694727) / cube(cube(safelog(temperature * 0.03940749133213672)))) - inv_(cube(Tc - temperature) + 90.7586070312148))"
21,0.10623514925836539,"invsquare(((Tc - -126.80753396456248) / cube(cube(safelog(temperature * 0.04042157572065776)))) - inv_(cube(Tc - temperature) + 91.5752864740065)) - 0.38976011158570134"
23,0.09561577584686384,"invsquare(((Tc - -61.165201776952564) / cube(cube(safelog(temperature * 0.03864869488101661)))) - inv_(141.21300120581913 - cube(cube(abs((temperature - Tc) + 3.890882129260972)))))"
25,0.07967400494150556,"invsquare(inv_(134.40637432514816 - cube(cube(abs(Tc - (temperature + 3.7852987780404326))))) - ((Tc - -74.62756067042483) / cube(cube(safelog(temperature * 0.03904120179429558))))) + -0.159879575874957"
28,0.07790118152169886,"(invsquare(inv_(134.34616376309626 - cube(cube(abs(abs((3.7917008760183952 + temperature) - Tc))))) - ((Tc - -74.48075056279558) / cube(cube(safelog(0.03903465577043822 * temperature))))) + -0.1338863164020766) - z_argon"
