T_K,P_bubble_bar,P_dew_bar
200,6.4305632319166515,2.417394645316043
201,6.555046073616594,2.5442100155062928
202,6.684852756852731,2.6761321290566835
203,6.820110274124071,2.8132983437735546
204,6.960947260950879,2.9558475468657206
205,7.107493963364735,3.103920135117434
206,7.259882206191122,3.257657995606318
207,7.418245362049341,3.4172044870109466
208,7.58271832132943,3.5827044215496193
209,7.753437462846488,3.754304047592898
210,7.930540625517294,3.9321510329883265
211,8.114167080763801,4.116394449138202
212,8.30445750605449,4.30718475586663
213,8.501553959142043,4.504673787114077
214,8.705599853357002,4.709014737495489
215,8.916739933850392,4.92036214975785
216,9.135120254843534,5.138871903172247
217,9.360888157770782,5.364701202895539
218,9.594192250565067,5.598008570335715
219,9.835182387810871,5.838953834556859
220,10.084009652046635,6.0876981247566295
221,10.340826336062326,6.344403863852129
222,10.605785926178992,6.609234763209287
223,10.879043086694852,6.882355818551234
224,11.160753645317332,7.163933307081633
225,11.451074579680562,7.4541347858618305
226,11.75016400494419,7.753129091478541
227,12.058181162460148,8.06108634104278
228,12.375286409524827,8.378177934560338
229,12.701641210275666,8.704576558718996
230,13.037408127544225,9.040456192133659
231,13.382750815985576,9.385992112100842
232,13.73783401612401,9.74136090290815
233,14.102823549726828,10.106740465755315
234,14.477886315993144,10.48231003033795
235,14.863190289144143,10.868250168157653
236,15.258904516968354,11.264742807617008
237,15.665199120496288,11.671971250971085
238,16.08224529482238,12.090120193203662
239,16.510215311056747,12.51937574290656
240,16.94928251937315,12.95992544524544
241,17.399621353217885,13.411958307100301
242,17.861407334593682,13.875664824476596
243,18.334817080510557,14.351237012291469
244,18.82002831057124,14.838868436644086
245,19.317219855639486,15.338754249695478
246,19.82657166764602,15.851091227286728
247,20.348264830525594,16.37607780943611
248,20.882481572230084,16.913914143876223
249,21.429405277849735,17.464802132792585
250,21.98922050379634,18.028945482953993
251,22.562112993104456,18.60654975943244
252,23.14826969165772,19.19782244313297
253,23.747878765547423,19.802972992376596
254,24.36112961928919,20.422212908798553
255,24.9882129150106,21.055755807854418
256,25.629320592519193,21.70381749425308
257,26.284645890105292,22.366616042674377
258,26.95438336611189,23.0443718841579
259,27.638728921068385,23.73730789859728
260,28.33787982030891,24.445649513827707
261,29.052034716935083,25.16962481183304
262,29.78139367492974,25.909464642678433
263,30.5261581921833,26.66540274683348
264,31.286531223229318,27.437675886639262
265,32.062717201317845,28.22652398776002
266,32.854922059469075,29.03219029157424
267,33.66335325012199,29.854921519581623
268,34.48821976271838,30.69496805104967
269,35.3297321387016,31.552584115293865
270,36.18810248304151,32.42802800018197
271,37.06354447145239,33.32156227869886
272,37.95627335204802,34.233454055666726
273,38.86650594017729,35.1639752370762
274,39.7944606046763,36.11340282485584
275,40.740357243528365,37.08201924039038
276,41.70441724652432,38.07011268069484
277,42.68686344171896,39.07797751182605
278,43.68792002209969,40.10591470499581
279,44.70781244772546,41.154232321909724
280,45.74676731761105,42.22324605716396
281,46.80501220421724,43.3132798472094
282,47.88277544146642,44.424666557462885
283,48.980285854941535,45.557748761809115
284,50.09777241978556,46.7128796321684
285,51.235463827769756,47.89042396022846
286,52.39358793956443,49.090759339286684
287,53.57237109098882,50.31427754186684
288,54.772037212364374,51.56138613919046
289,55.99280670618609,52.832510422738565
290,57.234895009887964,54.12809570774792
291,58.49851074358739,55.44861012596441
292,59.783853304396494,56.79454805432622
293,61.09110971287452,58.16643438354506
294,62.4204504330834,59.56482991580499
295,63.772023759536296,60.99033831080752
296,65.14594816250042,62.44361520281866
297,66.5423016574455,63.9253804395775
298,67.96110671874024,65.43643494190039
