mixture,T_K,Tc_K,Pc_bar,kij,phi_ij,mode,point_type,P_bar,P_bub_bar,P_dew_bar,gamma_Parachor_mN_m,gamma_WSD_mN_m,mixcorr_WSD,M_liq_g_per_mol,M_vap_g_per_mol,rho_liq_kg_per_m3,rho_vap_kg_per_m3,z_CO2,z_Methane,x_CO2,x_Methane,y_CO2,y_Methane
CO2;Methane,200.0,300.705989,77.909632,0.0,1.0,saturation,bubble,15.141501,15.141576,2.475743,16.47958397,2.6e-07,0.95000034,42.61115761,21.16404957,1175.165737,22.045927,0.95,0.05,0.95,0.05,0.183129,0.816871
CO2;Methane,200.0,300.705989,77.909632,0.0,1.0,saturation,dew,2.475755,15.141576,2.475743,20.14489641,3.1e-07,0.99955794,43.9971369,42.61102092,1235.794557,6.649316,0.95,0.05,0.999558,0.000442,0.949995,0.050005
CO2;Methane,201.0,300.705989,77.909632,0.0,1.0,saturation,bubble,15.237028,15.237104,2.608296,16.28649327,2.5e-07,0.95000035,42.61115767,21.38944218,1171.788649,22.307958,0.95,0.05,0.95,0.05,0.191189,0.808811
CO2;Methane,201.0,300.705989,77.909632,0.0,1.0,saturation,dew,2.608309,15.237104,2.608296,19.90802405,3e-07,0.99953156,43.99639918,42.61102113,1232.368829,6.983218,0.95,0.05,0.999532,0.000468,0.949995,0.050005
CO2;Methane,202.0,300.705989,77.909632,0.0,1.0,saturation,bubble,15.33972,15.339796,2.746284,16.09311162,2.5e-07,0.95000035,42.61115782,21.61963514,1168.4008,22.588383,0.95,0.05,0.95,0.05,0.19942,0.80058
CO2;Methane,202.0,300.705989,77.909632,0.0,1.0,saturation,dew,2.746297,15.339796,2.746284,19.67169098,3e-07,0.99950398,43.99562786,42.61102134,1228.930995,7.329986,0.95,0.05,0.999504,0.000496,0.949995,0.050005
CO2;Methane,203.0,300.705989,77.909632,0.0,1.0,saturation,bubble,15.449618,15.449695,2.889854,15.89947486,2.4e-07,0.95000035,42.61115787,21.85446838,1165.001845,22.887351,0.95,0.05,0.95,0.05,0.207816,0.792184
CO2;Methane,203.0,300.705989,77.909632,0.0,1.0,saturation,dew,2.889868,15.449695,2.889854,19.43588598,2.9e-07,0.99947516,43.99482191,42.61102156,1225.480747,7.689968,0.95,0.05,0.999475,0.000525,0.949995,0.050005
CO2;Methane,204.0,300.705989,77.909632,0.0,1.0,saturation,bubble,15.566768,15.566846,3.039155,15.70561676,2.4e-07,0.95000035,42.61115793,22.09377156,1161.591444,23.205032,0.95,0.05,0.95,0.05,0.216373,0.783627
CO2;Methane,204.0,300.705989,77.909632,0.0,1.0,saturation,dew,3.039171,15.566846,3.039155,19.20059818,2.9e-07,0.99944507,43.99398027,42.61102178,1222.017767,8.063518,0.95,0.05,0.999445,0.000555,0.949995,0.050005
CO2;Methane,205.0,300.705989,77.909632,0.0,1.0,saturation,bubble,15.691225,15.691303,3.194339,15.51156834,2.3e-07,0.95000036,42.61115799,22.33736379,1158.169248,23.541619,0.95,0.05,0.95,0.05,0.225083,0.774917
CO2;Methane,205.0,300.705989,77.909632,0.0,1.0,saturation,dew,3.194355,15.691303,3.194339,18.96581713,2.8e-07,0.99941366,43.99310186,42.61102201,1218.54173,8.450997,0.95,0.05,0.999414,0.000586,0.949995,0.050005
CO2;Methane,206.0,300.705989,77.909632,0.0,1.0,saturation,bubble,15.823048,15.823127,3.355557,15.31735838,2.3e-07,0.95000036,42.61115805,22.58505444,1154.734901,23.897328,0.95,0.05,0.95,0.05,0.233939,0.766061
CO2;Methane,206.0,300.705989,77.909632,0.0,1.0,saturation,dew,3.355574,15.823127,3.355557,18.73153274,2.8e-07,0.9993809,43.99218559,42.61102224,1215.052303,8.852774,0.95,0.05,0.999381,0.000619,0.949996,0.050004
CO2;Methane,207.0,300.705989,77.909632,0.0,1.0,saturation,bubble,15.962305,15.962385,3.522963,15.12301372,2.2e-07,0.95000036,42.61115812,22.83664398,1151.288039,24.272395,0.95,0.05,0.95,0.05,0.242935,0.757065
CO2;Methane,207.0,300.705989,77.909632,0.0,1.0,saturation,dew,3.522981,15.962385,3.522963,18.4977354,2.7e-07,0.99934674,43.99123035,42.61102248,1211.549144,9.269222,0.95,0.05,0.999347,0.000653,0.949996,0.050004
CO2;Methane,208.0,300.705989,77.909632,0.0,1.0,saturation,bubble,16.109066,16.109147,3.696713,14.92855931,2.2e-07,0.95000036,42.6111582,23.09192445,1147.828289,24.667077,0.95,0.05,0.95,0.05,0.252063,0.747937
CO2;Methane,208.0,300.705989,77.909632,0.0,1.0,saturation,dew,3.696732,16.109147,3.696713,18.2644157,2.7e-07,0.99931115,43.990235,42.61102272,1208.0319,9.700727,0.95,0.05,0.999311,0.000689,0.949996,0.050004
CO2;Methane,209.0,300.705989,77.909632,0.0,1.0,saturation,bubble,16.26341,16.263491,3.876963,14.73401858,2.1e-07,0.95000037,42.6111583,23.35068049,1144.355273,25.08165,0.95,0.05,0.95,0.05,0.261315,0.738685
CO2;Methane,209.0,300.705989,77.909632,0.0,1.0,saturation,dew,3.876982,16.263491,3.876963,18.03156493,2.6e-07,0.99927409,43.9891984,42.61102297,1204.500212,10.147677,0.95,0.05,0.999274,0.000726,0.949996,0.050004
CO2;Methane,210.0,300.705989,77.909632,0.0,1.0,saturation,bubble,16.425417,16.4255,4.063871,14.53941334,2.1e-07,0.95000037,42.61115839,23.61268979,1140.8686,25.516411,0.95,0.05,0.95,0.05,0.270684,0.729316
CO2;Methane,210.0,300.705989,77.909632,0.0,1.0,saturation,dew,4.063892,16.4255,4.063871,17.79917461,2.6e-07,0.99923551,43.98811937,42.61102322,1200.95371,10.610472,0.95,0.05,0.999236,0.000764,0.949996,0.050004
CO2;Methane,211.0,300.705989,77.909632,0.0,1.0,saturation,bubble,16.595176,16.595259,4.257597,14.34476427,2.1e-07,0.95000038,42.61115849,23.87772427,1137.367872,25.971674,0.95,0.05,0.95,0.05,0.280161,0.719839
CO2;Methane,211.0,300.705989,77.909632,0.0,1.0,saturation,dew,4.257618,16.595259,4.257597,17.56723675,2.5e-07,0.99919536,43.98699673,42.61102347,1197.392014,11.089518,0.95,0.05,0.999195,0.000805,0.949996,0.050004
CO2;Methane,212.0,300.705989,77.909632,0.0,1.0,saturation,bubble,16.772776,16.77286,4.458302,14.15009077,2e-07,0.95000038,42.61115859,24.14555064,1133.852682,26.447771,0.95,0.05,0.95,0.05,0.289737,0.710263
CO2;Methane,212.0,300.705989,77.909632,0.0,1.0,saturation,dew,4.458324,16.77286,4.458302,17.33574377,2.5e-07,0.99915362,43.98582926,42.61102373,1193.814732,11.585232,0.95,0.05,0.999154,0.000846,0.949996,0.050004
