mixture,T_K,Tc_K,Pc_bar,kij,phi_ij,mode,point_type,P_bar,P_bub_bar,P_dew_bar,gamma_Parachor_mN_m,gamma_WSD_mN_m,mixcorr_WSD,M_liq_g_per_mol,M_vap_g_per_mol,rho_liq_kg_per_m3,rho_vap_kg_per_m3,z_CO2,z_Hydrogen,z_Argon,x_CO2,x_Hydrogen,x_Argon,y_CO2,y_Hydrogen,y_Argon
CO2;Hydrogen;Argon,200.0,300.066167,80.967513,0.0,1.0,envelope,bubble,207.065914,207.066949,2.476271,,0.0,0.95,43.1729586,43.1729586,1225.859942,1225.859942,0.95,0.0167,0.0333,0.95,0.0167,0.0333,0.95,0.0167,0.0333
CO2;Hydrogen;Argon,200.0,300.066167,80.967513,0.0,1.0,envelope,bubble,196.298038,207.066949,2.476271,8.59733708,2.7e-07,0.95067127,43.19789629,9.34345272,1225.38531,99.444503,0.95,0.0167,0.0333,0.950671,0.016114,0.033214,0.039379,0.81104,0.149581
CO2;Hydrogen;Argon,200.0,300.066167,80.967513,0.0,1.0,envelope,bubble,185.530163,207.066949,2.476271,8.92816526,2.7e-07,0.95139317,43.22444094,9.53266676,1224.97311,96.788899,0.95,0.0167,0.0333,0.951393,0.015492,0.033115,0.039654,0.806082,0.154264
CO2;Hydrogen;Argon,200.0,300.066167,80.967513,0.0,1.0,envelope,bubble,174.762288,207.066949,2.476271,9.27788389,2.7e-07,0.95217022,43.25267692,9.74651417,1224.627869,94.083451,0.95,0.0167,0.0333,0.95217,0.014831,0.032999,0.040011,0.800482,0.159507
CO2;Hydrogen;Argon,200.0,300.066167,80.967513,0.0,1.0,envelope,bubble,163.994413,207.066949,2.476271,9.64775404,2.7e-07,0.95300741,43.28268085,9.98958841,1224.35394,91.325214,0.95,0.0167,0.0333,0.953007,0.014129,0.032863,0.040467,0.794123,0.16541
CO2;Hydrogen;Argon,200.0,300.066167,80.967513,0.0,1.0,envelope,bubble,153.226537,207.066949,2.476271,10.03915059,2.7e-07,0.95391074,43.3145326,10.26762819,1224.156042,88.510006,0.95,0.0167,0.0333,0.953911,0.013386,0.032703,0.041047,0.786855,0.172098
CO2;Hydrogen;Argon,200.0,300.066167,80.967513,0.0,1.0,envelope,bubble,142.458662,207.066949,2.476271,10.4535868,2.7e-07,0.9548876,43.34831565,10.58789003,1224.039339,85.631862,0.95,0.0167,0.0333,0.954888,0.0126,0.032512,0.041779,0.778491,0.17973
CO2;Hydrogen;Argon,200.0,300.066167,80.967513,0.0,1.0,envelope,bubble,131.690787,207.066949,2.476271,10.89275015,2.7e-07,0.95594734,43.38411734,10.95967197,1224.009551,82.682225,0.95,0.0167,0.0333,0.955947,0.01177,0.032283,0.042704,0.768788,0.188508
CO2;Hydrogen;Argon,200.0,300.066167,80.967513,0.0,1.0,envelope,bubble,120.922911,207.066949,2.476271,11.35855644,2.7e-07,0.95710209,43.42202943,11.39506155,1224.07312,79.64869,0.95,0.0167,0.0333,0.957102,0.010894,0.032004,0.043875,0.757436,0.19869
CO2;Hydrogen;Argon,200.0,300.066167,80.967513,0.0,1.0,envelope,bubble,110.155036,207.066949,2.476271,11.85323425,2.7e-07,0.95836811,43.46214877,11.91002121,1224.237465,76.513023,0.95,0.0167,0.0333,0.958368,0.009972,0.03166,0.045364,0.744019,0.210616
CO2;Hydrogen;Argon,200.0,300.066167,80.967513,0.0,1.0,envelope,dew,99.387161,207.066949,2.476271,12.37946225,2.7e-07,0.95976803,43.50457844,12.52598439,1224.511393,73.247905,0.95,0.0167,0.0333,0.959768,0.009003,0.031229,0.047278,0.727986,0.224737
CO2;Hydrogen;Argon,200.0,300.066167,80.967513,0.0,1.0,envelope,dew,88.619286,207.066949,2.476271,12.94060121,2.7e-07,0.96133453,43.54942929,13.27222577,1224.905769,69.811392,0.95,0.0167,0.0333,0.961335,0.007989,0.030677,0.049769,0.708579,0.241652
CO2;Hydrogen;Argon,200.0,300.066167,80.967513,0.0,1.0,envelope,dew,77.85141,207.066949,2.476271,13.54110414,2.8e-07,0.96311687,43.59682247,14.18937274,1225.434689,66.137102,0.95,0.0167,0.0333,0.963117,0.00693,0.029953,0.053075,0.684755,0.26217
CO2;Hydrogen;Argon,200.0,300.066167,80.967513,0.0,1.0,envelope,dew,67.083535,207.066949,2.476271,14.18727234,2.8e-07,0.96519285,43.64689287,15.33445747,1226.117545,62.116133,0.95,0.0167,0.0333,0.965193,0.005832,0.028975,0.057585,0.65505,0.287365
CO2;Hydrogen;Argon,200.0,300.066167,80.967513,0.0,1.0,envelope,dew,56.31566,207.066949,2.476271,14.88869763,2.8e-07,0.96769112,43.69979327,16.78747819,1226.982795,57.562728,0.95,0.0167,0.0333,0.967691,0.004705,0.027604,0.063975,0.617428,0.318597
CO2;Hydrogen;Argon,200.0,300.066167,80.967513,0.0,1.0,envelope,dew,45.547784,207.066949,2.476271,15.66103002,2.8e-07,0.97083311,43.75569448,18.6572284,1228.074661,52.149117,0.95,0.0167,0.0333,0.970833,0.003568,0.025599,0.07355,0.569161,0.357289
CO2;Hydrogen;Argon,200.0,300.066167,80.967513,0.0,1.0,envelope,dew,34.779909,207.066949,2.476271,16.53084711,2.9e-07,0.97500363,43.81476065,21.07772745,1229.463266,45.293779,0.95,0.0167,0.0333,0.975004,0.002457,0.022539,0.089204,0.507026,0.40377
CO2;Hydrogen;Argon,200.0,300.066167,80.967513,0.0,1.0,envelope,dew,24.012034,207.066949,2.476271,17.54109856,2.9e-07,0.98082079,43.87702698,24.18903717,1231.250146,36.048296,0.95,0.0167,0.0333,0.980821,0.001439,0.01774,0.118973,0.428191,0.452836
CO2;Hydrogen;Argon,200.0,300.066167,80.967513,0.0,1.0,envelope,dew,13.244159,207.066949,2.476271,18.74446612,3e-07,0.98901127,43.94205828,28.32933768,1233.532555,23.295125,0.95,0.0167,0.0333,0.989011,0.000601,0.010387,0.197083,0.327404,0.475514
CO2;Hydrogen;Argon,200.0,300.066167,80.967513,0.0,1.0,envelope,dew,2.476283,207.066949,2.476271,20.1624205,3.1e-07,0.99985329,44.00868671,43.1728826,1236.302241,6.725549,0.95,0.0167,0.0333,0.999853,6e-06,0.000141,0.949995,0.016702,0.033303
CO2;Hydrogen;Argon,201.0,300.066167,80.967513,0.0,1.0,envelope,bubble,195.433076,195.434053,2.60889,,0.0,0.95,43.1729586,43.1729586,1221.046557,1221.046557,0.95,0.0167,0.0333,0.95,0.0167,0.0333,0.95,0.0167,0.0333
CO2;Hydrogen;Argon,201.0,300.066167,80.967513,0.0,1.0,envelope,bubble,185.284435,195.434053,2.60889,8.82203545,2.6e-07,0.9507077,43.19913144,9.56668692,1220.687428,96.612404,0.95,0.0167,0.0333,0.950708,0.016086,0.033207,0.041306,0.805362,0.153333
CO2;Hydrogen;Argon,201.0,300.066167,80.967513,0.0,1.0,envelope,bubble,175.135795,195.434053,2.60889,9.1479462,2.6e-07,0.95146557,43.22685492,9.76924086,1220.389761,94.06788,0.95,0.0167,0.0333,0.951466,0.015436,0.033098,0.04167,0.800061,0.158269
CO2;Hydrogen;Argon,201.0,300.066167,80.967513,0.0,1.0,envelope,bubble,164.987154,195.434053,2.60889,9.49154497,2.6e-07,0.95227806,43.2562026,9.99779347,1220.157656,91.477534,0.95,0.0167,0.0333,0.952278,0.014749,0.032973,0.042127,0.794084,0.163788
CO2;Hydrogen;Argon,201.0,300.066167,80.967513,0.0,1.0,envelope,bubble,154.838513,195.434053,2.60889,9.85396777,2.6e-07,0.95315016,43.28724254,10.25711477,1219.995147,88.837984,0.95,0.0167,0.0333,0.95315,0.014024,0.032825,0.042697,0.787309,0.169994
CO2;Hydrogen;Argon,201.0,300.066167,80.967513,0.0,1.0,envelope,bubble,144.689873,195.434053,2.60889,10.23645728,2.6e-07,0.95408795,43.32004547,10.55314908,1219.906609,86.144497,0.95,0.0167,0.0333,0.954088,0.01326,0.032652,0.043405,0.779581,0.177014
CO2;Hydrogen;Argon,201.0,300.066167,80.967513,0.0,1.0,envelope,bubble,134.541232,195.434053,2.60889,10.64038802,2.6e-07,0.95509896,43.35468503,10.89339117,1219.896844,83.390413,0.95,0.0167,0.0333,0.955099,0.012455,0.032446,0.044285,0.770705,0.18501
CO2;Hydrogen;Argon,201.0,300.066167,80.967513,0.0,1.0,envelope,bubble,124.392591,195.434053,2.60889,11.06730362,2.6e-07,0.95619277,43.39123795,11.28741077,1219.971195,80.566292,0.95,0.0167,0.0333,0.956193,0.011609,0.032199,0.04538,0.760435,0.194185
CO2;Hydrogen;Argon,201.0,300.066167,80.967513,0.0,1.0,envelope,bubble,114.24395,195.434053,2.60889,11.51897229,2.7e-07,0.95738189,43.42978452,11.7475962,1220.135709,77.658605,0.95,0.0167,0.0333,0.957382,0.01072,0.031898,0.046748,0.748449,0.204802
CO2;Hydrogen;Argon,201.0,300.066167,80.967513,0.0,1.0,envelope,bubble,104.09531,195.434053,2.60889,11.99747421,2.7e-07,0.95868318,43.47040907,12.29022034,1220.397406,74.647658,0.95,0.0167,0.0333,0.958683,0.009788,0.031529,0.048471,0.734329,0.217201
CO2;Hydrogen;Argon,201.0,300.066167,80.967513,0.0,1.0,envelope,dew,93.946669,195.434053,2.60889,12.50534251,2.7e-07,0.96012015,43.51320075,12.93698602,1220.764684,71.504219,0.95,0.0167,0.0333,0.96012,0.008814,0.031066,0.050663,0.717513,0.231825
CO2;Hydrogen;Argon,201.0,300.066167,80.967513,0.0,1.0,envelope,dew,83.798028,195.434053,2.60889,13.04580105,2.7e-07,0.96172678,43.55825455,13.71727148,1221.24801,68.183797,0.95,0.0167,0.0333,0.961727,0.007798,0.030475,0.053494,0.697245,0.249261
CO2;Hydrogen;Argon,201.0,300.066167,80.967513,0.0,1.0,envelope,dew,73.649388,195.434053,2.60889,13.62317947,2.7e-07,0.9635542,43.60567272,14.67135732,1221.861071,64.616647,0.95,0.0167,0.0333,0.963554,0.006744,0.029702,0.057225,0.672492,0.270283
CO2;Hydrogen;Argon,201.0,300.066167,80.967513,0.0,1.0,envelope,dew,63.500747,195.434053,2.60889,14.24366622,2.7e-07,0.96568262,43.65556615,15.85483843,1222.622792,60.689667,0.95,0.0167,0.0333,0.965683,0.005656,0.028661,0.062281,0.641834,0.295885
CO2;Hydrogen;Argon,201.0,300.066167,80.967513,0.0,1.0,envelope,dew,53.352106,195.434053,2.60889,14.9167059,2.7e-07,0.96824305,43.70805402,17.34380729,1223.560873,56.21302,0.95,0.0167,0.0333,0.968243,0.004547,0.02721,0.069405,0.603343,0.327252
CO2;Hydrogen;Argon,201.0,300.066167,80.967513,0.0,1.0,envelope,dew,43.203465,195.434053,2.60889,15.65755572,2.8e-07,0.97145593,43.76325503,19.23807014,1224.71769,50.859882,0.95,0.0167,0.0333,0.971456,0.003435,0.025109,0.080021,0.554542,0.365437
CO2;Hydrogen;Argon,201.0,300.066167,80.967513,0.0,1.0,envelope,dew,33.054825,195.434053,2.60889,16.49139006,2.8e-07,0.97569021,43.82124666,21.6547162,1226.158043,44.072776,0.95,0.0167,0.0333,0.97569,0.00236,0.02195,0.09728,0.49268,0.41004
