mixture,T_K,Tc_K,Pc_bar,kij,phi_ij,mode,point_type,P_bar,P_bub_bar,P_dew_bar,gamma_Parachor_mN_m,gamma_WSD_mN_m,mixcorr_WSD,M_liq_g_per_mol,M_vap_g_per_mol,rho_liq_kg_per_m3,rho_vap_kg_per_m3,z_CO2,z_Hydrogen,z_Argon,x_CO2,x_Hydrogen,x_Argon,y_CO2,y_Hydrogen,y_Argon
CO2;Hydrogen;Argon,200.0,300.066167,80.967513,0.0,1.0,saturation,bubble,207.065914,207.066949,2.476271,,0.0,0.95,43.1729586,43.1729586,1225.859942,1225.859942,0.95,0.0167,0.0333,0.95,0.0167,0.0333,0.95,0.0167,0.0333
CO2;Hydrogen;Argon,200.0,300.066167,80.967513,0.0,1.0,saturation,dew,2.476283,207.066949,2.476271,20.1624205,3.1e-07,0.99985329,44.00868671,43.1728826,1236.302241,6.725549,0.95,0.0167,0.0333,0.999853,6e-06,0.000141,0.949995,0.016702,0.033303
CO2;Hydrogen;Argon,201.0,300.066167,80.967513,0.0,1.0,saturation,bubble,195.433076,195.434053,2.60889,,0.0,0.95,43.1729586,43.1729586,1221.046557,1221.046557,0.95,0.0167,0.0333,0.95,0.0167,0.0333,0.95,0.0167,0.0333
CO2;Hydrogen;Argon,201.0,300.066167,80.967513,0.0,1.0,saturation,dew,2.608903,195.434053,2.60889,19.92641349,3e-07,0.99984427,44.00862932,43.17288274,1232.906087,7.062784,0.95,0.0167,0.0333,0.999844,6e-06,0.000149,0.949995,0.016702,0.033303
CO2;Hydrogen;Argon,202.0,300.066167,80.967513,0.0,1.0,saturation,bubble,185.124103,185.125029,2.74695,,0.0,0.95,43.1729586,43.1729586,1216.370949,1216.370949,0.95,0.0167,0.0333,0.95,0.0167,0.0333,0.95,0.0167,0.0333
CO2;Hydrogen;Argon,202.0,300.066167,80.967513,0.0,1.0,saturation,dew,2.746964,185.125029,2.74695,19.6909742,3e-07,0.99983479,44.00856834,43.17288287,1229.499101,7.412967,0.95,0.0167,0.0333,0.999835,7e-06,0.000158,0.949995,0.016702,0.033303
CO2;Hydrogen;Argon,203.0,300.066167,80.967513,0.0,1.0,saturation,bubble,175.903076,175.903955,2.8906,,0.0,0.95,43.1729586,43.1729586,1211.806384,1211.806384,0.95,0.0167,0.0333,0.95,0.0167,0.0333,0.95,0.0167,0.0333
CO2;Hydrogen;Argon,203.0,300.066167,80.967513,0.0,1.0,saturation,dew,2.890615,175.903955,2.8906,19.45609172,2.9e-07,0.99982483,44.00850358,43.17288301,1226.08101,7.776445,0.95,0.0167,0.0333,0.999825,8e-06,0.000168,0.949995,0.016702,0.033303
CO2;Hydrogen;Argon,204.0,300.066167,80.967513,0.0,1.0,saturation,bubble,167.599331,167.600169,3.03999,,0.0,0.95,43.1729586,43.1729586,1207.333738,1207.333738,0.95,0.0167,0.0333,0.95,0.0167,0.0333,0.95,0.0167,0.0333
CO2;Hydrogen;Argon,204.0,300.066167,80.967513,0.0,1.0,saturation,dew,3.040005,167.600169,3.03999,19.22175547,2.9e-07,0.99981437,44.00843481,43.17288315,1222.651531,8.15357,0.95,0.0167,0.0333,0.999814,8e-06,0.000177,0.949996,0.016702,0.033303
CO2;Hydrogen;Argon,205.0,300.066167,80.967513,0.0,1.0,saturation,bubble,160.072428,160.073228,3.195271,,0.0,0.95,43.1729586,43.1729586,1202.936806,1202.936806,0.95,0.0167,0.0333,0.95,0.0167,0.0333,0.95,0.0167,0.0333
CO2;Hydrogen;Argon,205.0,300.066167,80.967513,0.0,1.0,saturation,dew,3.195287,160.073228,3.195271,18.98795525,2.8e-07,0.99980339,44.00836183,43.17288329,1219.210373,8.544701,0.95,0.0167,0.0333,0.999803,9e-06,0.000188,0.949996,0.016702,0.033303
CO2;Hydrogen;Argon,206.0,300.066167,80.967513,0.0,1.0,saturation,bubble,153.214172,153.214938,3.356597,,0.0,0.95,43.1729586,43.1729586,1198.603127,1198.603127,0.95,0.0167,0.0333,0.95,0.0167,0.0333,0.95,0.0167,0.0333
CO2;Hydrogen;Argon,206.0,300.066167,80.967513,0.0,1.0,saturation,dew,3.356614,153.214938,3.356597,18.75468126,2.8e-07,0.99979187,44.0082844,43.17288344,1215.757239,8.950205,0.95,0.0167,0.0333,0.999792,1e-05,0.000198,0.949996,0.016702,0.033303
CO2;Hydrogen;Argon,207.0,300.066167,80.967513,0.0,1.0,saturation,bubble,146.93791,146.938645,3.524121,,0.0,0.95,43.1729586,43.1729586,1194.322662,1194.322662,0.95,0.0167,0.0333,0.95,0.0167,0.0333,0.95,0.0167,0.0333
CO2;Hydrogen;Argon,207.0,300.066167,80.967513,0.0,1.0,saturation,dew,3.524139,146.938645,3.524121,18.52192404,2.7e-07,0.99977979,44.0082023,43.17288359,1212.29182,9.370453,0.95,0.0167,0.0333,0.99978,1.1e-05,0.00021,0.949996,0.016701,0.033303
CO2;Hydrogen;Argon,208.0,300.066167,80.967513,0.0,1.0,saturation,bubble,141.171064,141.17177,3.698001,,0.0,0.95,43.1729586,43.1729586,1190.086829,1190.086829,0.95,0.0167,0.0333,0.95,0.0167,0.0333,0.95,0.0167,0.0333
CO2;Hydrogen;Argon,208.0,300.066167,80.967513,0.0,1.0,saturation,dew,3.698019,141.17177,3.698001,18.28967454,2.7e-07,0.99976712,44.00811525,43.17288374,1208.813802,9.805826,0.95,0.0167,0.0333,0.999767,1.2e-05,0.000221,0.949996,0.016701,0.033303
CO2;Hydrogen;Argon,209.0,300.066167,80.967513,0.0,1.0,saturation,bubble,135.855122,135.855801,3.878393,,0.0,0.95,43.1729586,43.1729586,1185.888716,1185.888716,0.95,0.0167,0.0333,0.95,0.0167,0.0333,0.95,0.0167,0.0333
CO2;Hydrogen;Argon,209.0,300.066167,80.967513,0.0,1.0,saturation,dew,3.878412,135.855801,3.878393,18.05792409,2.6e-07,0.99975385,44.00802302,43.1728839,1205.32286,10.256711,0.95,0.0167,0.0333,0.999754,1.3e-05,0.000234,0.949996,0.016701,0.033303
CO2;Hydrogen;Argon,210.0,300.066167,80.967513,0.0,1.0,saturation,bubble,130.940389,130.941044,4.065457,,0.0,0.95,43.1729586,43.1729586,1181.722342,1181.722342,0.95,0.0167,0.0333,0.95,0.0167,0.0333,0.95,0.0167,0.0333
CO2;Hydrogen;Argon,210.0,300.066167,80.967513,0.0,1.0,saturation,dew,4.065477,130.941044,4.065457,17.82666443,2.6e-07,0.99973995,44.0079253,43.17288406,1201.818661,10.723502,0.95,0.0167,0.0333,0.99974,1.4e-05,0.000246,0.949996,0.016701,0.033303
CO2;Hydrogen;Argon,211.0,300.066167,80.967513,0.0,1.0,saturation,bubble,126.384783,126.385415,4.259354,,0.0,0.95,43.1729586,43.1729586,1177.582567,1177.582567,0.95,0.0167,0.0333,0.95,0.0167,0.0333,0.95,0.0167,0.0333
