Complexity,Loss,Equation
1,22.65133024171489,"8.143352743210066"
3,22.65068793823627,"z_argon + 8.117922444687654"
4,9.12053880733018,"safesqrt(Tc - temperature)"
5,0.862100653505903,"(temperature * -0.16928468667310648) + 50.13118822301062"
6,0.8589996594919083,"abs((temperature * -0.1698671531006743) + 50.266621007499964)"
8,0.49883383556222904,"((safesqrt(pressure) + temperature) * -0.1667972988307232) + 50.66546435489411"
9,0.34092111790089874,"(((0.09052897182260625 / pressure) + -0.16133424049915004) * temperature) + 47.491875836614774"
10,0.3385560139248641,"abs((((0.09046862840840986 / pressure) + -0.16161424483797684) * temperature) + 47.557611711653244)"
11,0.18361987558508192,"((temperature * -0.15672501860850158) + (Pc / (pressure - -13.740815988802451))) + 45.28424202338833"
12,0.1792805414928568,"abs((Pc / (pressure - -13.765055220348456)) + ((temperature * -0.1573866244297825) + 45.439024963423165))"
13,0.1287331338699047,"(temperature * ((-0.10493242799864143 / ((P_bubble / pressure) - -3.3724730706947557)) + -0.13163149171133617)) + 45.83556139419091"
14,0.1254315004955365,"abs((((-0.10214604809767082 / ((P_bubble / pressure) - -3.2835563326215547)) + -0.1321489089905009) * temperature) + 45.913639758972025)"
15,0.1193086575355587,"(temperature * ((-0.12252789156187155 / (((P_bubble + 8.269482111105834) / pressure) - -3.8908889713660177)) + -0.13100159365306935)) + 45.80169927284299"
16,0.10513042784470568,"(((square(z_argon) + -0.13161909107237013) + (-0.10342674749136421 / ((P_bubble / pressure) - -3.2345474765170104))) * temperature) + 45.70183806966173"
17,0.10099404737213633,"abs(((square(z_argon) + ((-0.10103414983244668 / ((P_bubble / pressure) - -3.158654747081909)) + -0.13223159435170256)) * temperature) + 45.807475950249746)"
19,0.09743733993764774,"abs((temperature * ((-0.09978743957778033 / ((P_bubble / pressure) - -3.1193422782089035)) + (square(z_argon) + -0.13224838416018214))) + 46.35499494281795) - 0.5621897871610647"
20,0.09439116939678828,"abs(abs((temperature * (((-0.09713791725715464 / ((P_bubble / pressure) - -3.036766096557044)) + square(z_argon)) + -0.13293661722994077)) + 46.570012735383784) - 0.6607536975971935)"
