Complexity,Loss,Equation
1,22.65133024171489,"8.143352741253496"
3,14.747790518745047,"6.851000633998589 / Tr"
4,4.45609869193755,"4.293362686227043 / cube(Tr)"
5,0.8665874963935386,"50.12462431366879 - (Tr * 51.800949805729985)"
7,0.4638322053588536,"((33.105713841610026 - Pr) / Tr) - 32.54960109905656"
8,0.1531691474441912,"((30.251576922579765 - safelog(Pr)) / Tr) - 30.64829103933128"
9,0.1378104116099211,"((69.41739468485704 - safelog(Pr)) / safesqrt(Tr)) - 70.20153957085704"
10,0.1104179379378438,"((18.125429432661015 - safelog(Pr)) / Tr) - (Tr * 19.12132846402714)"
12,0.1009231687169546,"((17.90248563958197 - safelog(Pr)) / Tr) - ((Tr - z_hydrogen) * 19.363569254408397)"
13,0.08111988428770323,"(((31.732047006663773 / Tr) - 27.463696446571124) * oneminusx(z_argon)) + (safesqrt(Pr) * -5.2360525074195605)"
14,0.07649231673536427,"((((z_argon + safesqrt(safesqrt(Pr))) * -6.862867044859587) + 75.31782949129273) / safesqrt(Tr)) - 69.33899252105343"
15,0.06900486324182153,"(safesqrt(Pr) * -5.513947846162868) + (oneminusx(z_argon - z_hydrogen) * ((30.83575984649532 / Tr) - 26.448138923954552))"
17,0.06524781712092645,"((((44.22102637717464 / Tr) - 37.49402821529127) / square(z_argon + 1.1704875860503368)) + Pr) + (safesqrt(Pr) * -6.740045199035391)"
18,0.05129720554293977,"(((18.861341281417154 - (square(Tr) * 13.464177937328635)) / (Tr - z_hydrogen)) + (5.894836010675658 / (Tr + Pr))) - 9.526248283447913"
20,0.05117058521175442,"(((z_hydrogen + 18.50381451950004) - (square(Tr) * 14.023070237511625)) / (Tr - z_hydrogen)) + ((5.892668249530869 / (Pr + Tr)) - 8.628082994254195)"
21,0.05101977222025057,"(((safelog(Tr) + (19.553151498636502 - (square(Tr) * 14.346575270926174))) / (Tr - z_hydrogen)) + (5.8703675973845595 / (Tr + Pr))) - 9.36577213837349"
22,0.048128710418562905,"((21.908362060474406 - (cube(Tr) * 4.983121953793278)) / (Tr - z_hydrogen)) + (((safeexp(safesqrt(z_argon)) * 5.109772073395288) / (Pr + Tr)) - 21.36156873837367)"
24,0.045624141478794907,"(((safeexp(safesqrt(z_argon) * Tr) * 5.3854460084266025) / (Tr + Pr)) + ((21.461102605917443 - (cube(Tr) * 5.789481560093042)) / (Tr - z_hydrogen))) - 20.328987144430005"
25,0.04562414147838381,"((21.46110071195272 - (cube(Tr) * 5.789480270071373)) / (Tr - z_hydrogen)) + (((safeexp(safesqrt(z_argon * square(Tr))) * 5.385448978434376) / (Tr + Pr)) - 20.328988279326907)"
