complexity,score,loss,selected,equation,rmse_train,rmse_val,rmse_test,r2_train,r2_val,r2_test
1,1.4187300291734763,0.039182583812337114,false,x_imp_sum,0.19794591133018413,0.17178531325302174,0.17405011921573021,-5.120443062028203,-5.186163036523869,-5.113103309767415
2,0.24098491622087315,0.006401919504068175,false,-0.1459925597143745,0.08001199600102585,0.07162668952018779,0.07264764317941418,3.3306690738754696e-16,-0.07547187540033873,-0.06501602923790917
3,0.23900333039078714,0.0062084196406680305,false,Pr_CO2 - Pr_over_Tr_CO2,0.07879352537276163,0.059592144102398735,0.05376804007135075,0.03022528841188732,0.2555640765909857,0.4166066192716883
4,0.03478423955342774,0.0004097562553811716,false,x_imp_sum * -5.218887336278111,0.020242436992150222,0.015278918677748865,0.01526700476961175,0.9359947817024586,0.9510633159692651,0.9529650412293414
6,0.0441861766925982,0.0003931805026376599,false,(-4.533852316130802 - Pr_over_Tr_CO2) * x_imp_sum,0.019828779655784667,0.016180714623441242,0.01569298091168555,0.9385839665138231,0.945116133906373,0.9503037088845131
8,0.05343912560637733,0.0003724754299338169,false,x_imp_sum * ((-5.341995557631283 - Pr_over_Tr_CO2) + Tr_CO2),0.019299622533454297,0.015219921866526813,0.01453845557345604,0.9418181641151341,0.9514405068352209,0.9573469951096969
9,0.05766226117251239,0.0003509440807443916,false,(-4.9801178601245795 - cube(Pr_CO2)) * x_imp_sum,0.018733501561224254,0.015286134406100946,0.015483101296917195,0.9451814287072213,0.9510170826974138,0.9516241069564472
10,0.060228955377155946,0.0002835032218661345,false,(Tr_CO2 - one_plus(Pr_over_Tr_CO2)) * (safe_sqrt(x_imp_sum) + x_imp_sum),0.016837553915760285,0.015424013245807675,0.01591481786206407,0.9557159033808564,0.9501294591317945,0.9488887584617693
11,0.06249903844377167,0.00020784146048089498,true,(x_imp_sum * -4.981770063990805) - square(Tr_CO2 + -0.8061277891536743),0.014416707685213534,0.010036319137186417,0.01008369432572434,0.967534508931451,0.9788846529116887,0.9794811777462744
12,0.06564570521384748,0.00015647497449078736,false,(x_imp_sum * -4.85022867577344) - square(one_plus(Tr_CO2 * -1.2447586180984498)),0.012508995742696028,0.010361066665678494,0.008571745344509872,0.9755581159070568,0.9774960768812215,0.985173057422913
