index,split
92,train
64,train
42,train
16,train
60,train
39,train
18,train
24,train
36,train
29,train
23,train
30,train
84,train
68,train
34,train
20,train
79,train
95,train
94,train
52,train
37,train
93,train
91,train
80,train
10,train
7,train
47,train
69,train
66,train
1,train
49,train
14,train
3,train
48,train
44,train
50,train
74,train
51,train
13,train
11,train
73,train
25,train
61,train
6,train
67,train
53,train
89,train
86,train
81,train
2,train
57,train
5,train
8,train
59,train
12,train
98,train
96,train
28,train
56,train
72,train
70,train
85,train
82,train
21,train
4,train
17,train
46,train
76,train
45,train
78,val
40,val
31,val
22,val
55,val
63,val
41,val
38,val
15,val
35,val
9,val
83,val
27,val
62,val
19,val
97,test
58,test
71,test
75,test
43,test
26,test
77,test
32,test
65,test
54,test
87,test
90,test
88,test
33,test
