Complexity,Loss,Equation
1,19.991681357485955,"7.610744194401884"
3,0.8522080498891963,"F1 * 48.24663479838095"
5,0.0014313344917159937,"safepow(F1 * 26.19014734702031, 1.3510330745800896)"
7,0.00010757511693773226,"safepow((F1 * 29.08029938438121) + -0.18820890561183304, 1.2969468065373455)"
9,1.1752686020141246e-5,"safepow((F1 * 32.00426419325852) + -0.7082706108339003, 1.257702216280672) + 0.4980901475932953"
11,6.784349554667558e-6,"safepow((F1 * (safepow(0.833102710389212, F1) * 27.157728888456955)) + -0.08928557278499681, 1.3682119192962332)"
13,3.197514498456249e-6,"safepow((F1 + (F1 + F1)) * 8.270134152393945, safepow(F1, -0.026334428917660607) * 1.3414594476119266)"
15,1.1097205394178135e-7,"safepow((F1 + (F1 + F1)) * 8.155417129230788, safepow(F1, -0.029464034562919243) * 1.3449170664403298) + 0.02539116011477654"
19,6.68887402975942e-8,"safepow(((F1 + safepow(F1 + F1, safepow(F1 * 2.3852432986613645, -0.05960439822104982))) + F1) * 4.322362780452425, 1.2767742692612318) * 1.9818535647118645"
21,4.980117876992957e-8,"(safepow((F1 + safepow(F1 + (F1 + F1), safepow(F1 * 2.5477903729600544, -0.040661245559475805))) * 4.302013159054794, 1.296220937418216) * 1.918072030665393) + 0.02231946367791408"
23,4.297247142736675e-9,"safepow(F1 + (((F1 + (F1 * 1.4845319617215877)) + safepow(F1 + (F1 + F1), safepow(F1, -0.057468754901319516))) * 4.771460205455383), 1.2572293165579493) * 1.157593205725664"
25,1.5300224749836475e-9,"safepow(F1 + (((F1 * 1.4973548730154016) + (safepow((F1 + F1) + F1, safepow(F1, -0.05558859586226278)) + F1)) * 4.773329688771668), 1.3005917633423705) * safepow(F1, -0.04314252077703049)"
27,1.5126352323310974e-9,"safepow(safepow(F1, -0.033157422405970284) * (((((F1 * 1.4983107982044204) + F1) + safepow((F1 + F1) + F1, safepow(F1 * F1, -0.027801505440345518))) * 4.77278931195346) + F1), 1.3005665824229218)"
